model_accuracy,MF
0.8410073267865462,MF102
NaN,MF117
0.8452928178959728,MF121
0.5223317366136957,MF1223
0.5332403410008283,MF124
0.6024492090399302,MF13
0.6553526130259008,MF134
NaN,MF137
0.5130074283727917,MF141
0.7642762535874312,MF144
NaN,MF167
0.403085609667479,MF179
0.4410619469652537,MF181
0.584244839450888,MF184
0.772486807205642,MF191
0.8632913883148978,MF195
0.7368736479032132,MF198
0.1970982387904298,MF2
0.5864667836276466,MF200
0.4438286237947435,MF21
0.2611393666247269,MF257
0.25663469394321525,MF27
0.7721973249484615,MF312
0.5699236178602891,MF370
0.31257936024874583,MF39
NaN,MF421
0.5401079008615052,MF439
0.7148091119657752,MF44
0.4039964825708705,MF46
0.20182623186023974,MF465
NaN,MF476
0.5129908763827508,MF478
0.6676642283858489,MF5
0.6446303078494353,MF557
NaN,MF57
0.46816928777476013,MF59
NaN,MF6
0.2703903488977613,MF697
0.8946828415555024,MF7
0.0,MF78
0.16577128595848345,MF89
0.46253698680215755,MF9
