"step";"MF102";"MF117";"MF121";"MF124";"MF13";"MF134";"MF137";"MF141";"MF144";"MF167";"MF179";"MF181";"MF184";"MF191";"MF195";"MF198";"MF200";"MF21";"MF257";"MF27";"MF312";"MF370";"MF39";"MF421";"MF439";"MF44";"MF46";"MF465";"MF476";"MF478";"MF5";"MF557";"MF57";"MF59";"MF6";"MF7";"MF78";"MF89";"MF9"
7;10.8599780433699;15.7248868626579;25.5327787179349;9.96626281877629;1.96392956233154;20.210422195721;75.8581780592608;38.9711731594704;21.0813533627713;4.46239587237843;13.720691096073;77.6918769968824;10.7968359402864;55.8133841284855;71.1871527661748;8.98820726489249;34.0707709493773;1.20563340670206;8.79373602684277;21.6072195992523;38.1873944717062;59.2464929679622;8.70523955486802;1.50307160487555;11.6150464128647;3.24410222843948;29.8888796187386;7.60271732739812;5.259647866559;10.635779881175;78.7660367041195;11.1798995072485;0.239463855183019;27.051813039453;46.6543874410926;578.560612975405;32.3404527459351;0.728775270281584;6.03194724803887
8;10.4594420118947;13.7290737812831;20.5498954800178;9.86732343647532;2.03235336586696;19.2376430929958;76.6583196613747;36.8729897694135;26.1292032340301;4.36745228982513;11.946466106033;66.7450224589766;9.64492468678315;45.3679342133881;64.150506906057;9.0330774889198;29.9120622390394;1.4187695145268;10.2900637931552;20.7573817152563;34.2381703624082;53.5559863680331;7.08928042929394;1.97927331478985;9.91882607391226;2.75654674763217;27.6260911617228;5.9918944573169;5.76204102943909;9.07586665821431;68.8389289736775;9.80747074296974;1.02894501646232;23.8542176574223;41.1037561704192;516.638320594905;26.8225190043825;1.56324788790707;5.66208133708814
9;10.1895303630611;12.0073972682937;16.1858630153127;9.72757045965762;2.07835556903245;18.3492298477403;76.6209237567368;34.7777010528588;31.7813353758594;4.21487954178036;10.4621982873241;56.9413428365571;8.58268556215667;36.1457905975704;57.6305675360925;9.04372651918572;26.2483635032522;1.62556647315275;11.3832956661041;19.9932454081681;30.778693511277;48.315786161327;5.70350630481524;2.35176701820542;8.4442634400609;2.48438930381989;25.3975752265929;4.54261649403127;6.07241931728776;7.71370955325183;60.3319454386711;8.61381280093584;1.69340345781334;20.9089210151378;36.1203470057781;460.339643599781;21.9412509376293;2.26928570112028;5.28951579194845
10;10.0291171287238;10.5436851919797;12.4067687150131;9.5447599857925;2.1076852644987;17.5552319733919;75.85534855679;32.6719192387811;37.8802637470592;4.01470849140705;9.26295086832931;48.2293370442664;7.62864731771339;28.0848466054675;51.6537576316002;9.02280924708265;23.0787560407634;1.82229272872008;12.0972321933321;19.2941561581555;27.7733744487843;43.5135750449796;4.53503806399516;2.63404833143006;7.19063379578284;2.42471463306167;23.2073255075162;3.26188800022616;6.22277657448332;6.53755648050314;53.1856689827866;7.59294970262363;2.24112022873;18.1958519086222;31.6745633389565;409.531962328729;17.6730970862347;2.85250466754436;4.91824722340643
11;9.97089811203852;9.33292515895594;9.1909729120643;9.32322411831469;2.12716739091347;16.8762003473968;74.4424024514066;30.5840507827618;44.2750492517989;3.77804214533947;8.3367729510185;40.555777757666;6.79331624345578;21.1744303344693;46.2616710774109;8.98461724428164;20.3732228111538;2.00668671825546;12.4626204599539;18.6482123135724;25.2164117733033;39.1586311943844;3.58101259970087;2.83941116608167;6.15689872120615;2.57388611145409;21.0887221457958;2.15990226891562;6.25235282635829;5.53347805159265;47.3809342815383;6.74581261873559;2.68217770809175;15.7301467326304;27.7378122183848;364.64760930658;14.024697867568;3.31683432378904;4.5518590799255
12;10.0158765605121;8.37469045124617;6.53023641475022;9.07514623041912;2.14375768236668;16.3250348420943;72.4661410362396;28.5658224691426;50.8175460788364;3.51412480095799;7.66209270796276;33.8812471139699;6.07119992609011;15.4398538369328;41.5109660022871;8.95147822236175;18.0887717334887;2.17613924260365;12.5172743737935;18.0503056827019;23.1164215696062;35.2364631378985;2.8458535761749;2.97738088304075;5.34150845376822;2.92509984075836;19.0781962391384;1.24735347772581;6.19884726691862;4.68969885722694;42.8599476775664;6.07392919043463;3.02680248321461;13.5532525086743;24.2925039270219;326.262236074168;11.0164724148768;3.66777375462187;4.19479351577746
13;10.1593366130432;7.67266802619787;4.42485690509214;8.80833740254999;2.15837650889334;15.8925627122833;70.0133875364664;26.6654276415122;57.3374233778435;3.22938738867987;7.21352844889111;28.1831005600157;5.44472246780506;10.9071985683221;37.4094505459732;8.93974130047465;16.1839328054453;2.32746365855177;12.2987644197892;17.5002019505303;21.4794614342017;31.7352579029458;2.33519700151405;3.05666122760935;4.74113107128232;3.46023863350038;17.1950538299606;0.531086882154928;6.0692479214947;3.99816816490259;39.5576939088986;5.57701130384245;3.28461270292313;11.7045490066957;21.3130367913583;294.510457309155;8.66575769877997;3.91311223829785;3.84895542529642
14;10.4005261627295;7.23673304756568;2.88672126431354;8.52020704043402;2.16477563988905;15.562674231944;67.1155401540339;24.9316615391578;63.6798114725477;2.9242696265049;6.9717901437759;23.4547122082996;4.88799409663774;7.61218577269675;33.9250925175617;8.95732500127112;14.6226611654491;2.45987478875954;11.8389124315427;17.011772736563;20.3240856664696;28.6657127936745;2.05838150045251;3.08342900323376;4.34939319852337;4.15380380772102;15.4540671268892;0.0118056707565017;5.84125755963753;3.45870853878411;37.4496913142433;5.25932317792789;3.45426214783282;10.2132919645128;18.7703729227209;269.385387292988;6.99807997382886;4.06378268016843;3.51201349583694
15;10.7538735568492;7.08633365908688;1.94905302389045;8.2062253361947;2.15132030035426;15.3207514600336;63.6361121195384;23.390204898772;69.8222976636846;2.59241934700351;6.93926232833713;19.7502396114554;4.37332625453667;5.60030017417634;31.0067025871839;9.00141794242908;13.4010389669062;2.57796679080657;11.1156842684109;16.6166110994005;19.6720640853395;26.0820383417692;2.02560759786945;3.04995666005472;4.16125709566632;4.98326871697226;13.855235665925;0;5.45891998212912;3.09051242237427;36.5706533406174;5.12867522750795;3.51868631625644;9.0952088419453;16.6876894953759;250.69057104372;6.04021803965241;4.12308780394443;3.18022099103257
16;11.231300607027;7.22604203558511;1.68162909874647;7.8558209785501;2.10025769330495;15.1254109797248;59.2430542861875;21.9083950462075;76.1158759231645;2.20493628391517;7.18142947358562;17.2934012250266;3.88543371901775;4.84770494455386;28.5309383112118;9.02319453246358;12.6396307019949;2.68965835979201;9.98888296222385;16.352367613551;19.4907298572452;24.0219808830045;2.23472526405236;2.91978181071443;4.18325677196717;5.9587435049984;12.2628867195292;0;4.80015974205302;2.94987223632322;36.9520479077554;5.18099757311133;3.43178570218505;8.26751636996327;15.2535226589605;236.445797764078;5.74084763665693;4.07313418398845;2.84118641137695
17;11.6819181266579;7.54830507633297;2.12781135853937;7.37611208364501;1.99572907063794;14.8620069462978;53.6389996487714;19.6992211824431;83.5256267955243;1.72708673629935;7.96613633080717;16.6856032283018;3.55387933225158;4.71129033936503;26.1329256375885;8.80253597805953;12.8774521348824;2.78735492445279;8.0880877814693;16.2215995714006;19.3612838715422;22.39673335129;2.55862875365833;2.62878156052625;4.46341353595711;7.20619726803017;10.1342013746107;0;3.65216731223834;3.17685334141472;38.4059317556361;5.34988311130982;3.10435713654023;7.08170809255735;15.0700547105425;217.755347604544;5.63410494509566;3.86666205513759;2.45228522719869
18;11.2665730772561;7.46554452010888;2.57402224348658;6.18981633192925;2.11405461716062;15.1122116510207;49.940603481659;16.5911611492404;85.8045136464098;1.54525430982238;9.07595101998384;16.5109500089675;3.85674107282402;3.44759743450447;23.7180013392854;8.45508610800469;13.9543064664786;2.68416521007114;6.04364519629406;15.4530040704828;18.1773183002645;20.8456003540987;2.81428916618607;2.6619616315013;4.95703715165434;8.69112936700841;7.72094316940107;0.104849241111193;3.32537107749097;3.05440880558147;39.448467637662;5.39794849722096;2.78240530706162;5.3027814974238;15.5799502515416;192.908237162968;5.50752228385122;3.54458692513111;2.11837305747866
19;10.8120242524544;7.43685672938355;2.86199848114438;5.1082242520706;2.21868936931458;15.6501669762753;46.4545743176486;14.0966880901386;84.0957908075223;1.49885628409592;9.78152607895281;15.6971349185589;4.42273526910473;2.98876648304556;22.8148030974463;8.33498856130367;14.9303455741448;2.49617018300389;4.34539936458572;14.1642270956259;17.2441617526506;20.2137118062659;3.04168610805166;2.82684295925624;5.61501278559988;9.83324869860008;5.9786078397542;1.18988152065535;3.56048119750504;2.95946960196322;40.9378999623978;5.39431418622566;2.55233367580269;4.23164973203496;15.2624047140901;181.860841864846;5.93459494323603;3.06169445383916;1.86119807335843
20;10.7250318301273;7.74976649798557;3.30645960662666;4.99978176507137;2.33389072244719;16.2679557618311;43.5880199945002;12.9089251867075;79.3336379797227;1.60042196665344;9.94551438426641;14.8798906021554;4.96525422373378;4.43341705455784;25.1126412788646;8.8222696162837;15.1824599425701;2.27872443131787;3.40714831531014;12.8914935519864;16.9106616316372;20.3541005316181;3.26674302558967;3.01278756908528;6.45321359318328;10.502768804718;5.20483733312673;2.65701279703939;4.25988410249579;3.34931490860515;41.9125078676951;5.47962351637093;2.5037759881288;4.22082790831161;15.0296630642512;189.051827305517;6.92076527376549;2.51559147360843;1.66982935916898
