model_name,epoch_number,mean_euclidean_distance
V5_20000,20000,179.12441394512845
V5_30000,30000,183.30844914817388
V5_40000,40000,165.22173663381966
V5_50000,50000,167.61149273874852
V5_100000,100000,156.28608758216612
