"102","116","117","121","1223","124","13","134","137","140","141","144","179","181","184","19","191","195","198","2","200","257","27","28","312","370","39","421","439","44","46","478","5","557","59","6","697","7","78","9","time_step"
4,0,5,8,4,22,4,33,23,7,1,5,32,70,2,0,33,26,6,6,12,9,0,1,6,38,10,0,0,14,3,6,86,1,39,17,3,176,9,0,"1"
0,0,11,2,0,7,1,18,84,4,0,36,29,35,2,0,5,16,3,0,15,0,8,1,0,0,0,0,1,24,0,4,48,0,14,77,3,35,0,0,"2"
22,0,33,25,262,53,0,42,38,52,62,248,17,105,6,2,116,74,18,0,30,5,20,8,66,64,16,1,8,132,44,3,209,16,136,27,3,934,58,9,"5"
1,0,32,39,8,14,3,67,91,35,17,145,62,146,3,0,28,53,24,1,33,6,31,3,10,61,2,7,12,40,4,25,190,3,66,592,13,116,0,13,"6"
24,0,27,4,206,102,7,49,66,28,53,275,26,94,2,0,65,102,29,8,28,11,22,10,46,23,10,16,4,105,40,1,203,11,213,243,10,1156,32,12,"9"
2,0,31,5,5,14,2,17,92,20,19,91,17,60,1,0,8,34,18,0,16,2,14,11,11,13,0,5,4,42,6,4,103,0,50,622,16,47,0,21,"10"
0,0,14,0,0,1,0,25,103,5,3,9,19,92,9,0,0,49,5,0,49,3,2,2,12,3,0,3,5,18,0,4,104,2,14,23,39,8,1,7,"11"
1,0,34,1,83,258,0,44,50,8,23,18,18,201,18,0,5,12,10,0,26,2,13,1,21,112,1,4,6,23,26,1,157,10,33,12,56,358,13,3,"12"
22,0,9,0,0,50,2,30,24,30,31,257,10,27,1,0,12,55,22,0,8,1,11,11,21,42,4,11,2,75,7,1,43,3,103,111,4,281,8,10,"13"
0,0,6,0,0,7,1,6,33,7,9,72,11,20,0,0,0,9,4,0,7,0,7,4,0,5,0,5,1,6,7,1,35,0,20,120,2,23,0,1,"14"
0,0,15,1,0,5,0,11,134,0,17,18,5,47,0,0,0,5,7,0,10,11,11,1,20,1,1,14,1,24,0,0,51,2,14,16,19,10,0,6,"15"
4,0,25,1,85,343,0,25,64,5,35,18,6,110,3,0,1,20,15,2,6,14,26,4,20,71,1,16,1,54,35,5,75,10,14,8,14,423,14,7,"16"
30,0,12,5,4,27,0,26,10,31,17,681,15,39,1,0,17,35,20,2,5,1,21,9,24,17,9,0,3,81,3,2,67,5,43,64,1,297,11,1,"17"
1,0,20,8,2,11,8,29,64,19,4,2,21,29,0,0,10,24,16,0,8,0,10,9,1,2,0,1,4,30,2,8,86,5,19,249,6,54,0,5,"18"
1,0,17,0,0,9,1,10,44,1,3,17,5,15,1,0,0,9,3,0,18,4,3,2,18,0,0,0,0,34,0,1,53,1,7,65,4,8,0,5,"19"
7,0,36,0,9,189,0,32,35,5,8,44,14,120,8,0,0,6,6,1,29,4,11,4,26,35,0,5,3,85,5,4,109,0,20,31,9,337,2,2,"20"
21,0,14,8,144,51,0,49,24,21,22,135,15,85,4,0,21,95,47,0,6,8,12,9,22,28,7,33,13,101,6,1,174,5,39,78,1,398,21,2,"21"
2,0,18,8,2,6,7,14,63,9,6,22,23,29,0,0,10,22,19,0,20,0,3,12,2,7,0,8,6,37,2,6,93,0,8,287,3,53,0,3,"22"
0,0,21,0,0,10,0,14,78,2,4,49,18,48,3,0,0,16,7,10,20,1,4,2,22,0,0,3,8,12,0,0,76,1,14,67,13,8,0,0,"23"
2,134,33,0,5,246,0,40,31,0,10,14,16,84,11,3166,0,0,11,0,23,2,1,0,20,42,4,15,0,30,2,1,119,4,9,6,25,269,15,0,"24"
36,0,35,5,546,108,0,33,31,21,23,187,7,70,11,0,91,200,50,3,14,10,16,22,56,39,3,21,16,124,8,53,166,8,47,737,2,686,9,6,"25"
0,0,35,4,1,9,3,27,85,12,6,29,47,37,0,0,0,27,15,0,10,7,11,1,4,0,6,4,5,27,5,3,47,2,7,496,3,56,0,10,"26"
0,0,15,0,0,15,0,6,52,2,3,2,8,24,1,0,0,9,8,1,11,0,2,0,4,0,0,3,4,22,0,0,43,0,1,114,13,17,0,5,"27"
3,0,20,1,15,248,0,16,23,1,12,2,3,63,1,0,2,8,13,0,10,3,0,0,15,39,0,4,10,54,3,2,45,3,18,0,12,203,5,4,"28"
32,0,56,12,66,246,35,58,49,34,32,347,7,76,0,0,111,104,61,7,7,3,9,20,37,53,7,11,16,173,4,18,116,6,86,456,14,906,27,6,"29"
4,0,32,9,3,40,9,35,91,20,6,61,12,41,0,0,4,31,23,2,25,3,11,14,8,10,2,4,16,27,1,3,41,1,21,641,9,53,0,38,"30"
0,0,38,1,0,14,4,21,100,3,0,10,18,41,1,0,1,24,5,0,21,1,4,2,8,1,0,2,9,28,0,3,52,0,1,82,17,43,0,0,"31"
5,0,42,0,50,405,1,40,49,0,12,6,5,71,1,0,4,7,17,0,9,1,1,0,30,63,3,3,8,108,4,1,63,3,8,5,3,707,5,1,"32"
31,0,21,9,73,194,10,42,24,17,24,310,8,121,3,0,55,79,33,18,10,2,6,15,50,52,15,3,41,64,4,9,105,0,79,236,10,514,5,3,"33"
