x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49
1.0159779,-1.0225544,27.019817,43.05275,10.977708,-19.951567,-19.94805,-19.95189,43.267807,54.959084,54.959084,54.954636,54.94597,54.695778,24.075308,24.075056,-24.469793,50.957367,-5.9694633,43.79428,33.279594,34.06865,34.12812,22.424295,8.049852,1.2771244,28.88845,-0.35354805,0.17243958,35.701683,0.16514778,56.591278,-0.19559479,15.736729,25.763763,37.129044,1.8118057,1.697876,0.09652901,14.985216,22.996033,3.3279724,3.3279724,3.3279724,3.3279724,3.3279724,3.3279724,3.3279743,3.333683
0.22335434,-0.5515938,-23.970863,31.146688,-117.97365,-89.64528,-89.64848,-89.64377,30.073318,7.50119,7.50119,7.5052643,7.513199,7.7423553,35.819153,35.81919,-60.286156,51.587093,9.633007,30.72987,-40.94983,-101.328,-101.62605,-57.311333,-2.5752182,132.76373,-5.0120277,1.3578033,0.8488045,-23.079315,0.81324387,7.6718903,1.0149574,84.67097,1.8343315,-8.782059,-1.1093903,-0.9891205,0.47433472,2.5123749,-0.64050674,-0.4342804,-0.4342804,-0.4342804,-0.4342804,-0.4342804,-0.4342804,-0.43426514,-0.42814636
12.748925,8.126088,35.860313,126.79526,22.956726,8.313275,8.314942,8.314717,127.06584,125.28395,125.28395,125.281845,125.27774,125.15929,110.679245,110.679,47.66982,164.61008,15.841893,126.936935,137.76538,87.86838,87.58452,113.3104,23.692669,35.990196,31.338902,25.955826,15.022725,69.84655,15.023313,18.978268,26.04348,-2.1427946,24.727337,60.780792,13.106675,13.058629,12.233594,7.452153,18.602367,19.300678,19.300678,19.300678,19.300678,19.300678,19.300678,19.300632,19.28764
6.446041,4.717064,41.508022,65.72027,27.134327,0.97942066,0.9823923,0.97915363,64.921715,128.17264,128.17264,128.16888,128.16156,127.94999,101.92571,101.926125,36.720917,53.68719,21.108944,63.31654,47.32313,57.284485,57.39708,13.227685,1.7628622,0.026272774,13.874077,3.2689447,0.2657442,31.088875,0.25370502,13.834596,3.3909597,4.0195093,6.1961126,19.5546,4.080037,3.969655,2.6356382,6.043792,13.701676,3.4961882,3.4961882,3.4961882,3.4961882,3.4961882,3.4961882,3.4961805,3.4943285
12.810913,-10.560242,334.39542,692.01874,285.28607,5.946007,5.977745,5.9453964,694.7718,759.79987,759.79987,759.75964,759.6814,757.42175,480.9689,480.96622,-49.170387,771.61316,127.0776,700.12195,744.52216,584.4696,584.35645,364.86026,14.859886,0.44124603,298.8996,18.414421,0.5799484,421.36365,0.5511093,510.29773,19.94625,-186.918,152.4603,305.5298,-18.697212,-19.719673,-34.06913,137.5506,273.1105,-10.885963,-10.885963,-10.885963,-10.885963,-10.885963,-10.885963,-10.885963,-10.845314
40.49096,3.1564407,131.67407,919.60675,543.2936,355.9157,355.937,355.92444,931.3687,630.1537,630.1537,630.1268,630.0743,628.55853,443.9483,443.94214,79.185936,1017.8341,55.70504,940.7804,1267.213,901.7215,899.28064,1261.0082,77.74197,293.06296,125.08337,29.681099,13.4794235,108.725334,13.547096,421.47876,31.303352,-133.4609,188.82788,261.56058,22.402534,22.499107,9.795113,111.50347,144.10175,66.15342,66.15342,66.15342,66.15342,66.15342,66.15342,66.15324,66.08599
3.5612116,1.2173967,2.4098425,43.804974,-7.1568995,-10.806933,-10.8065195,-10.806062,43.93071,42.9487,42.9487,42.948177,42.947155,42.91763,39.309326,39.309242,12.750802,62.579655,-12.107841,43.66793,49.895527,33.87537,33.755024,48.200226,3.94098,1.4595613,6.479433,-0.54040813,-0.042429924,25.169724,-0.039372444,2.5663252,-0.5173464,-6.8892927,4.8641653,22.850674,2.4014645,2.382885,2.1991606,0.031464577,4.6427317,4.1430454,4.1430454,4.1430454,4.1430454,4.1430454,4.1430454,4.1430283,4.1393948
29.690454,24.971928,69.566315,144.10919,71.49658,24.942566,24.94786,24.94278,143.64902,219.62343,219.62343,219.61674,219.6037,219.22711,172.99417,172.99446,88.95656,156.0604,28.521332,141.62418,167.55592,125.6938,125.43924,112.55692,26.396187,40.162064,48.415154,17.748089,6.160446,82.26897,6.153694,58.20407,18.008942,-22.886448,33.234875,67.3105,11.1458435,11.014,8.407719,19.402489,36.74095,14.525398,14.525398,14.525398,14.525398,14.525398,14.525398,14.525375,14.52108
61.231575,62.585007,65.16635,105.63885,169.62859,168.73338,168.73347,168.73265,105.47289,130.70955,130.70955,130.70941,130.70917,130.70192,129.75433,129.75465,152.29031,68.88951,141.95158,104.50294,170.96408,190.33424,190.19525,116.169106,49.990253,34.825977,55.397923,62.37462,51.61071,86.06113,51.626503,-51.302452,62.41685,-70.13809,30.44942,31.280943,63.052654,63.043846,62.86831,22.894852,27.44619,52.421257,52.421257,52.421257,52.421257,52.421257,52.421257,52.421284,52.431847
5.619726,3.3612957,72.71194,76.78004,37.18373,-0.3354435,-0.3311863,-0.33592415,76.47444,122.17177,122.17177,122.16637,122.15586,121.852356,84.63072,84.63079,2.8475208,61.39456,19.981428,75.91762,50.66301,56.49991,56.636307,6.193819,9.297155,0.8639393,30.58378,4.6299133,2.313242,52.04845,2.299181,33.827667,4.8043747,7.2032566,11.175158,27.89971,6.3608284,6.2022324,4.311596,15.114723,30.173395,3.6038074,3.6038074,3.6038074,3.6038074,3.6038074,3.6038074,3.6038132,3.60845
