x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55
3.9210744,0.0,21.828772,0.79642355,23.779797,1.9934262,17.664463,2.6607323,0.0,3.063994,21.675152,0.0,0.0,3.8191457,29.672947,0.9920988,0.97503746,6.8459883,20.807682,1.887766,0.0,1.8910037,35.85716,0.0,0.0,2.9414053,31.82627,3.9582229,0.0,4.887094,30.931288,0.9823799,0.0,2.9339023,23.921957,2.9166331,0.0,2.9929671,31.955595,1.9226028,0.9893694,2.93895,0.0,1.5978323,0.0,5.2206306,32.769524,6.4788013,0.0,0.0,34.60809,0.048555255,0.0,3.3039737,31.840658
4.9541783,10.935469,33.06195,32.160477,26.895174,24.827675,23.42667,33.4193,14.039364,33.294464,5.5270686,6.004722,14.851009,25.051416,12.384296,20.05194,17.123075,36.224667,14.186068,18.247835,21.06918,33.1866,35.55999,35.120354,15.066734,20.120369,56.395844,32.197277,37.935528,42.269634,21.256485,10.086645,61.93232,27.140549,10.152775,9.107559,13.941595,15.997372,10.104904,12.1439705,8.952946,16.012823,0.0,0.0,7.852773,23.368162,19.758112,24.39602,10.7170315,44.51621,38.856255,35.57157,17.884207,14.927982,56.470787
8.0109625,1.9697843,25.00198,39.01659,4.000449,7.172102,16.836477,24.113077,0.0,0.0,0.0,0.0,0.0,0.0,4.9650593,8.116426,0.0,0.0,8.037087,8.029696,0.0,0.0,4.8950996,4.1691113,0.0,0.0,11.990856,9.042779,1.0779753,0.0,8.920294,2.9934244,0.0,0.0,8.002728,2.0224094,2.001461,0.0,21.004295,10.962597,1.9937024,0.0,0.0,0.63831425,8.075972,0.0,9.496651,6.212229,0.0,0.0,6.4528065,4.6092024,0.0,0.0,12.020224
4.031316,0.0,262.20596,8.375205,206.29124,43.24711,170.33748,0.0,4.548688,94.036415,37.676697,0.0,0.0,84.96584,4.563224,2.1522515,0.0,8.554416,144.44456,2.0489614,0.0,4.9248304,545.52606,1.206444,0.0,14.886714,66.15524,0.0,0.0,50.02163,73.13388,0.0,0.0,38.0897,38.933846,26.000092,0.0,9.9663,314.21548,4.148017,0.0,24.9991,0.0,36.23721,0.0,68.20277,330.87,0.0,0.0,0.0,507.16156,5.032282,0.0,33.636257,66.577644
21.919653,7.0844707,52.67887,13.586674,101.53151,0.0,80.90448,67.38022,15.4377775,212.21454,46.089024,7.355523,4.8494635,342.56873,26.847672,0.0,8.761885,189.0411,50.816666,6.1377287,9.670274,246.04404,108.49424,0.0,14.056687,248.18536,245.97372,39.97431,13.97247,405.29456,194.23895,22.981764,136.1478,731.53955,140.96628,6.0028763,15.9734955,149.0293,115.91615,22.983055,1.0118294,179.86954,0.0,0.0,0.0,160.6984,111.74178,19.148516,0.0,289.44244,111.77886,0.0,4.4497194,189.599,245.93549
0.0,1.0041243,0.0,3.0368142,7.0577736,0.6249819,4.049321,10.243495,0.0,0.0,2.5826273,0.9026958,0.0,0.0,0.0,7.972601,0.9467155,0.0,0.0,6.9902954,0.0,0.0,0.0,2.9561667,0.0,0.0,34.86811,8.909918,3.983975,0.9118787,9.904578,0.0,0.9395746,0.84505284,2.9664912,2.9735708,8.01322,3.9506845,2.9968333,1.9993728,0.9960376,0.0,0.0,0.0,0.0,0.0,0.26814568,0.0,0.0,0.0,0.0,2.609836,0.8108715,0.0,34.847786
33.061253,18.011364,42.022034,67.21195,49.070053,20.032717,47.558487,44.253494,15.724874,35.94846,23.862312,5.9439983,10.986738,24.971268,26.27425,29.287743,10.161453,32.144897,49.261906,14.187104,14.142014,40.051945,33.941994,27.3808,6.373491,16.08289,58.180103,35.155052,21.104292,39.990257,42.081135,9.081373,13.018362,42.931366,56.045826,5.1357923,9.003819,18.981108,42.01435,16.062387,3.9875522,19.01435,0.0,15.254524,25.728436,31.663338,58.910683,25.420845,5.537944,32.099663,42.39902,28.534515,9.118174,9.802221,58.24083
22.910526,83.85834,37.677994,91.04689,65.562164,90.00031,31.410769,82.01765,94.91631,61.70632,25.153872,32.4144,133.96841,63.907104,10.046654,64.14048,43.971436,35.03762,24.107838,63.245667,78.125084,31.132948,31.714106,85.20267,52.53785,23.065554,49.227695,91.18853,100.065956,49.005203,24.09915,33.05564,59.995506,76.968796,30.033094,61.116688,70.982346,41.965473,12.978112,68.019516,90.950005,36.922985,5.8800125,96.99068,107.578,44.38227,28.822151,50.55397,72.47142,38.552742,39.795242,84.436035,59.70736,25.079123,49.28569
6.999662,3.9469223,52.086506,35.074554,28.09392,20.601316,37.970203,24.647533,0.9864804,11.178394,25.755674,6.937619,0.0,5.061003,31.183456,19.187248,1.0092608,5.1575394,21.25159,9.146691,2.0426488,0.0,21.247316,12.208601,2.0866425,0.0,34.275604,20.189157,2.9957576,0.0,17.076174,5.039997,0.0,0.0,14.084276,2.0840173,0.0,3.0099435,43.06161,15.05456,2.9760711,3.0440378,0.0,12.796364,0.0,0.0,43.183746,14.238391,0.05428064,0.0,24.508362,12.878322,2.896306,0.0,34.35703
1.0219345,0.0,62.08878,16.970627,53.154587,12.356016,43.58017,19.330654,0.0,31.632816,24.31041,8.87742,17.00595,35.144215,17.150114,4.138973,2.9057426,8.279204,22.238781,6.1576266,3.8288555,10.192855,23.104519,6.1028214,3.233984,12.100636,32.324524,6.181974,0.0,12.291308,24.131325,25.014174,3.0286083,19.354332,37.040924,4.063487,0.9433155,17.02032,28.088573,3.079997,2.0112085,5.0906305,0.0,0.0,0.0,0.0,27.803738,13.5418825,4.900379,0.0,22.523098,6.565501,6.116254,6.203329,32.41449
5.034376,36.03157,247.912,144.7997,275.10825,67.04829,184.6907,186.51866,10.771451,10.932364,269.33948,75.142426,17.810013,18.066753,681.17584,2.56007,16.761604,44.31569,135.73888,21.967537,49.0206,14.074917,187.76508,29.527046,1.6254101,1.8511887,347.36832,61.38513,10.224766,6.2297745,310.15485,51.141815,3.206623,21.217245,263.23413,76.14197,43.039356,41.02166,305.96942,163.01074,32.956013,97.98839,2.9054222,71.686905,35.386513,28.572424,228.30032,96.825516,44.542847,40.133205,201.20786,32.062225,0.0,2.925888,347.7406
31.984774,28.852755,16.93501,62.145126,25.99019,23.914547,15.937558,38.789597,14.948606,9.890509,0.20318404,11.091539,4.8324943,5.870504,15.235095,21.23538,5.158003,14.009205,15.090156,23.122805,18.22281,15.904234,7.343658,47.353745,8.269489,2.9237347,6.949001,12.066012,18.133278,4.832069,7.9150405,3.0766966,8.022266,8.770759,18.967964,12.1170845,17.03434,2.9458785,10.959094,6.0006223,2.9498484,1.9810618,0.0,4.36987,24.928432,3.4816644,13.149702,17.694088,6.376798,17.383839,11.8910265,48.4719,10.381908,0.0,6.980991
70.050514,35.00354,105.04619,146.15189,93.97666,48.33484,76.58957,82.805786,76.67449,181.38544,26.41207,19.961052,46.909214,109.91691,39.287453,29.17157,14.920582,120.01177,85.34657,29.156563,47.713314,83.94388,70.74451,37.21778,24.13831,62.974213,76.2041,41.222565,41.14145,71.107315,121.13039,11.031909,62.195602,94.08407,72.08258,21.180285,38.043552,68.04179,23.08002,21.05716,28.01428,58.051865,0.0,36.892235,79.8971,59.61907,78.14421,40.56688,14.439156,83.4408,78.84309,37.37702,27.83356,49.40283,76.33725
2.0200436,1.9649384,6.0010815,2.8508093,1.9538949,0.69073176,2.4751542,0.063551426,7.396242,13.686018,0.0,0.0,0.0,2.9351032,0.7374108,0.0,0.95647836,7.930126,3.9231007,0.0,2.9447825,10.9709835,10.8629,0.0,0.8426845,0.979604,0.0,0.0,1.0290325,0.9720781,2.9221175,0.0,1.0459473,0.93990636,0.95133567,0.0,2.018953,2.0310004,3.9735487,0.0,3.0147316,2.9844296,0.0,0.0,6.6322727,11.856221,2.0411818,0.0,4.0047073,9.218835,9.777385,0.0,0.0,0.33664036,0.0
33.123543,0.0,116.24098,28.140574,65.35593,8.501078,83.067764,21.922201,0.0,15.804071,14.572559,0.0,0.0,1.1327386,17.084871,10.031736,0.0,0.0,20.987764,9.989616,0.0,0.0,90.61945,0.0,0.0,2.0182776,111.03809,3.9839425,0.0,4.024813,55.029865,5.9857717,0.0,9.021009,49.122364,2.0268383,2.0367026,12.071787,37.099724,6.0274024,0.0,3.1033387,0.0,4.1760583,6.7882924,12.7384205,89.95035,0.0,0.0,0.0,88.347336,0.3913889,0.0,12.829809,111.034134
26.11848,16.075062,74.02708,53.160217,102.056755,41.06444,67.853035,6.1421747,41.57363,43.99065,59.161648,9.101188,5.086875,20.143341,35.089085,24.117628,8.875124,5.8124433,95.19981,22.016422,15.740326,0.0,200.41415,27.303612,9.47551,7.921874,104.031654,31.039291,24.073257,6.85748,78.99477,16.96091,8.096658,0.0,52.974895,15.015918,48.06315,10.974019,41.062702,29.002525,14.020614,6.0079885,0.0,42.434517,56.55158,15.365801,120.26157,12.590462,14.012323,0.0,193.35645,28.469612,12.882135,10.787057,104.17402
6.125574,3.0688517,18.179348,24.147497,29.267862,14.87915,24.130672,21.267246,3.12429,13.441597,22.793268,4.165718,7.099492,15.206242,19.923857,16.03358,3.004796,6.1141224,47.16094,19.104216,7.0218096,11.158422,50.425114,15.067846,8.083287,13.05736,61.15991,23.068218,5.039898,17.201958,33.06277,6.990139,7.0713615,17.214725,20.056068,12.053599,13.023646,18.038244,25.074236,14.006708,1.0287023,12.073994,0.0,13.608041,15.994927,13.814583,37.910847,17.799692,3.5709772,14.772505,52.068542,15.069733,7.5290937,9.949997,61.177082
5.95064,0.0,0.0,0.0,8.038209,0.0,11.567521,0.0,0.0,0.0,0.0,0.0,0.0,2.0615215,2.0713768,0.0,0.0,1.1459265,0.0,0.0,0.0,0.0,3.183165,0.0,0.86387205,0.0,7.153965,0.0,0.0,0.0,18.086937,1.0560822,0.0,4.1503253,4.043412,0.0,0.0,0.9993477,34.034073,3.0979545,3.9623866,12.984448,0.0,0.0,0.0,0.95453596,2.1750326,0.0,0.0,0.0,2.6171298,0.0,0.0,0.0,7.136202
12.151697,14.964634,30.088629,33.226387,28.202137,18.8993,16.589077,31.983437,39.812443,27.744253,11.991417,6.7974076,10.079222,6.090886,4.883125,8.099373,18.160706,29.103699,6.0968733,20.165373,20.059416,23.059008,14.100571,10.264606,11.194941,10.0865,7.064611,25.038218,21.189306,9.046148,10.012124,1.9935291,9.148636,17.061764,4.010247,10.079363,31.10158,15.026325,10.02401,3.9876516,7.062704,13.023646,0.0,5.4448304,17.530499,17.35183,4.7510514,23.012985,18.550388,22.626467,14.022928,10.143499,11.8803215,11.271527,7.1304345
9.124308,0.0,5.215917,6.4119124,11.286076,3.151072,6.053085,1.0955625,7.076628,6.08726,0.0,0.0,11.033344,14.169523,1.4861112,0.088517904,4.211696,4.2720594,8.397383,0.0,1.0996611,2.1601644,10.511436,7.330257,0.0,3.162496,3.3990245,3.2515316,1.0172853,1.1570821,2.2396588,0.08232212,2.9967866,2.030006,1.1739383,1.2366595,0.0,0.0,1.0713687,0.0,0.9560733,0.0,0.0,5.4643865,4.594959,0.4736278,6.9710145,0.5647049,1.4677262,1.590303,10.995419,8.069416,0.0,2.031896,3.4154859
0.0,7.9912415,20.189144,31.284798,22.241768,13.344619,15.121206,17.075592,0.0,16.128708,9.92295,7.1700335,10.986073,26.126938,21.587326,10.196187,3.0338328,11.228485,12.473678,3.2493713,4.015583,1.1303067,16.665241,11.241734,2.1927478,0.0,9.468592,11.225298,3.9654653,1.165559,6.1783924,3.0857403,1.9004292,4.081831,5.119563,3.1573389,0.0,0.0,11.104743,6.155629,0.9190211,3.0645368,2.8537176,9.6811075,6.1649275,1.649065,18.019722,6.685314,0.0,0.47891712,18.676926,11.506254,4.389166,0.0,9.5269375
