x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49
5.1745486,1.7951479,11.905699,0.93530416,-1.036834,6.907242,27.662195,3.8812852,-0.3726308,2.8137476,26.340801,0.25128424,-5.228689,15.321941,9.958191,-3.5880666,2.4520175,27.010193,0.82302713,-0.5614327,4.0941453,30.069778,2.3414035,-0.7583234,-2.7560873,24.626072,1.8781838,-0.7588746,0.8133092,30.320927,1.632688,-0.8238177,3.8480344,28.507202,0.98648334,-1.0236413,5.2187624,29.041851,2.7853842,-0.909413,5.310386,20.618286,5.531994,-1.067707,4.8838534,3.2929406,-0.6951258,-0.86941713,3.2694027
-2.8095644,-2.10747,-10.407604,-16.090023,-14.259251,-12.879986,-12.034802,1.8020666,2.3088336,9.9935665,-4.8011913,0.60019755,14.571243,2.484234,3.3570316,3.332099,8.814287,-6.9610214,-2.5131395,1.9161173,48.02118,27.307766,4.1435566,0.8013904,34.54352,41.84494,8.970968,1.6878115,1.7152827,7.1286297,5.0462313,1.095011,6.3382835,0.11934686,4.630395,-1.3409145,8.049955,-2.0010374,3.2537599,-2.9893959,2.273739,-8.964429,-10.472157,-9.493462,4.485614,-11.503984,-12.466335,-10.154712,1.0266407
12.909473,11.820574,36.485527,13.4920225,11.093178,29.108917,25.003183,21.099752,13.744046,30.350454,12.119477,19.067774,17.974983,16.7486,7.830448,18.841505,32.923428,16.827343,16.845306,17.258772,37.41368,34.43368,24.150291,18.89571,30.94023,38.91183,19.073908,18.98528,27.553272,27.418734,22.664507,19.141861,32.453594,19.92871,20.844658,18.622784,33.06477,19.538757,21.42004,18.226736,11.359048,16.05882,13.321066,17.624521,9.584938,10.617918,17.173986,16.655985,7.1286383
7.6772633,3.2602465,23.820719,15.726495,6.315259,28.479235,22.19813,9.190693,1.4884199,6.357361,4.0194473,0.4581647,2.7361262,-0.123551846,1.0403564,1.8195255,2.015489,6.44695,1.1015519,0.50216466,-0.4893782,11.767883,11.439257,0.20331025,-6.8415966,10.775424,7.047694,-0.11455512,3.1121912,10.145737,5.952372,0.07850337,4.1694384,11.187653,6.2064757,0.7412432,4.1035805,10.654148,7.523001,1.4385417,-2.5400264,9.581219,6.13785,3.8726475,-3.4456081,2.482915,5.0602865,4.3421173,-0.6545882
9.834092,0.15784645,119.18617,26.625294,1.1113749,73.96522,210.1432,26.567219,-4.645837,27.20788,46.04025,-2.3403246,-9.91842,6.4370136,14.512474,-5.735956,30.53191,56.60746,5.8362226,-4.495609,121.89179,216.08041,31.317799,-4.002123,45.788815,218.84839,39.74046,-4.3376646,17.889929,142.10953,23.44537,-4.099133,72.48533,119.32656,22.182453,-3.086653,86.62933,124.93701,25.077541,-2.6476722,40.702175,91.79286,22.39972,-0.061290562,37.833393,23.97353,2.8898327,3.4363983,25.61577
70.30008,24.384045,155.60033,-33.026882,47.866604,92.22355,28.103577,17.249346,33.70299,229.59984,23.814026,38.029694,117.99051,124.27554,-16.486439,52.2626,220.55905,81.81437,21.267057,39.046616,156.80057,148.10083,11.461082,42.363964,295.7077,189.40366,6.355799,42.08624,234.9781,179.57248,36.145958,45.765877,348.03265,155.08897,31.03453,51.942886,368.6592,157.20247,24.806818,43.57857,223.26732,150.8464,-3.0108733,48.29381,203.05132,52.79289,49.918907,60.146397,117.0609
1.9482833,3.2621946,5.311885,0.8049459,2.8758752,1.5369667,3.52469,3.997702,2.0041904,3.1405041,3.3889172,1.9028054,-1.6785976,3.41489,2.0400937,1.2149029,0.24343966,4.2287335,1.221006,1.8430517,-4.642048,4.4284687,3.521032,1.6251216,-2.4070928,1.5665902,-0.7554501,1.6124051,0.5859915,13.321501,3.748729,1.5065521,2.513967,9.311111,4.2004337,1.1071517,2.864969,9.284946,4.2627926,1.5244495,-0.9516985,6.482123,4.2575617,1.6012542,-2.0346384,-2.159852,1.3629103,1.4532354,-3.7604957
25.458164,17.24496,62.775635,25.186735,18.495842,55.60578,43.46733,24.908943,13.79153,43.551334,30.120415,10.935028,12.256535,28.63236,4.766648,13.801664,36.6135,39.269665,10.759089,11.628946,28.727331,50.294678,27.991701,10.399702,20.052816,49.95909,18.249002,10.2194,30.81117,49.86759,21.63939,10.595579,37.356415,45.761585,20.794895,10.97797,38.33432,44.435028,23.024782,10.80559,12.6001005,34.818596,15.042774,12.295227,9.4067,6.5773907,12.901738,12.596474,6.3898573
39.03958,49.917168,49.83762,60.864956,53.841522,50.469383,39.033394,70.89308,58.684162,51.923126,18.90395,69.23724,49.91527,36.116394,38.740215,68.75429,50.869038,19.984455,65.8158,65.60101,54.087887,29.250713,76.01012,68.97684,54.218796,34.92158,69.64992,68.79725,55.146423,27.853518,70.42442,68.79093,49.42034,33.644638,69.71591,67.63249,47.12953,34.30684,70.969185,69.09248,32.700615,41.944626,63.574944,70.74953,32.812645,62.40058,72.33989,69.27305,46.11065
11.043485,3.9789364,36.362923,20.156363,6.294664,35.92986,42.33525,16.363344,1.4715147,6.974203,27.736427,1.9550431,3.9586866,13.3256235,13.119916,-0.038202077,8.843891,30.76152,7.457125,0.7180619,7.512073,29.457733,16.83618,0.78098035,-6.6838703,27.132513,12.551448,0.425587,3.365094,24.24374,9.94897,0.6921736,4.7188673,25.069767,10.257631,1.9613779,5.1131773,24.945826,13.114712,2.3027775,1.2509537,20.166681,12.792148,4.8082876,0.7129957,6.6070833,6.044615,5.372087,3.7889616
