"MF_invaded";"Hill.0_tau";"Hill.1_tau";"Hill.2_tau";"Hill.0_pvalue";"Hill.1_pvalue";"Hill.2_pvalue";"scientificName"
"MF121";0.30642123044283;0.133333333333333;0.0333333333333333;0.0194731863358062;0.283130870662347;0.788446734264471;"Ectopsocus briggsi McLachlan, 1899"
"MF21";-0.00968928202643433;0.333333333333333;0.433333333333333;0.952598602966484;0.00729035809153555;0.000486164074979367;"Tenuiphantes tenuis (Blackwall, 1852)"
"MF9";0;0.222222222222222;0.222222222222222;1;0.0736382701203027;0.0736382701203027;"Ommatoiulus moreleti (Lucas, 1860)"
