"MF_invaded";"Hill.0_mean";"Hill.1_mean";"Hill.2_mean";"Hill.0_sd";"Hill.1_sd";"Hill.2_sd";"scientificName"
"MF121";26.775;10.9284819625311;6.50214714522343;4.14164280548252;3.2479252868402;3.03639500561983;"Ectopsocus briggsi McLachlan, 1899"
"MF21";27.1;10.9184839768516;6.59357765738706;4.01790862807876;3.42760259874506;3.04937839891507;"Tenuiphantes tenuis (Blackwall, 1852)"
"MF9";27.375;10.9975495667058;6.58077089110262;3.88743867953946;3.45432207485005;3.14264946839592;"Ommatoiulus moreleti (Lucas, 1860)"
