MF102,MF117,MF121,MF1223,MF124,MF13,MF134,MF137,MF141,MF144,MF167,MF179,MF181,MF184,MF191,MF195,MF198,MF2,MF200,MF21,MF257,MF27,MF312,MF370,MF39,MF421,MF439,MF44,MF46,MF465,MF476,MF478,MF5,MF557,MF57,MF59,MF6,MF697,MF7,MF78,MF89,MF9
0.9979134,8.82248,33.723858,0.0,26.45533,5.292586,0.0,94.240524,16.320623,38.527485,9.482135,12.956066,118.399124,4.7118998,26.499184,63.312214,9.901003,0.0,35.712074,1.9278417,0.0,28.255514,10.26944,54.205433,0.0,0.0,12.739743,0.0,5.6218157,8.435409,0.0,21.400978,0.0,3.453262,2.4909525,4.6237373,100.54691,6.0035534,96.34309,0.0,0.0,4.4073973
0.0,0.0,0.0024502436,0.0,2.880081,0.0,0.0,115.93511,6.711944,9.259478,0.0,10.123667,38.231846,11.255617,0.0,53.266712,0.62854475,0.0,53.08087,0.0,11.129743,7.068993,12.228382,0.0,0.0,2.027949,5.777005,0.0,0.0,0.0,0.12505236,6.2054834,0.0,0.0,0.0,0.0,8.174452,6.111079,5.5380883,0.0,6.532341,7.895086
0.0,22.906048,0.0,0.0,0.0,0.0,21.860554,58.1007,20.255854,0.0,13.018364,16.906015,29.013325,15.736077,0.0,0.0,0.0,0.0,23.659147,0.0,6.076728,13.03806,22.583363,101.95458,2.9508562,7.599973,3.9172726,5.110876,24.573715,0.0,0.0,0.0,134.7063,10.295728,0.0,3.5966444,0.0,0.0,394.00858,13.518795,2.7856512,0.0
41.47584,27.338287,7.8798094,0.0,78.00568,14.066974,49.475224,62.178116,47.288452,79.3807,0.08197062,3.2044203,44.24772,7.196082,87.45271,132.56273,34.186462,0.0,11.80629,10.677062,18.157175,28.651329,58.941395,96.51162,0.0,0.0,30.71123,9.332846,29.948463,0.0,0.0,18.795616,48.722984,13.075189,0.0,19.475595,18.901981,7.642212,1188.6897,31.591824,5.4586315,2.747135
3.5065458,8.789745,7.4688067,0.0,19.561201,4.020223,0.0,100.22256,22.095383,42.887688,7.3903522,0.9987269,48.55623,0.0,10.058459,36.170704,11.011996,0.0,18.87175,0.0,6.9690857,12.236853,6.9785066,24.294203,0.0,1.5381604,8.398494,0.0,7.4016075,3.1917102,0.0,3.9360924,0.0,0.60702854,12.390335,21.504164,35.88523,4.916209,51.567883,0.0,0.0,5.883166
0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.35208,21.692177,15.606901,0.0,3.577118,21.123524,0.282221,0.0,10.563548,4.0617247,0.0,12.832507,0.0,37.503277,14.80576,21.330475,0.0,0.0,7.893553,2.9407017,0.0,0.45396376,0.0,0.0,0.0,0.0,3.3797848,3.0881126,0.0,0.0,0.3035412,10.427593,0.0,10.020108,0.86057866
0.0,16.809727,0.0,0.0,0.0,0.0,23.898256,63.777622,34.404476,0.0,5.873568,11.238078,15.37461,8.088455,0.0,0.0,0.0,0.0,5.543664,0.0,18.796707,21.030645,24.728941,68.18215,0.0,7.402058,0.0,0.85442716,27.766558,0.0,0.0,0.0,72.69414,10.037647,0.0,7.6323414,0.0,0.0,469.09244,13.388255,9.68257,0.0
18.47577,7.0817156,0.0,0.0,23.213182,1.9574207,26.859743,26.282324,38.546574,0.0,1.0539366,3.4553,14.725056,2.470659,18.852537,66.11366,21.825655,0.0,0.0,4.4190774,0.0,17.009102,19.968815,42.496395,0.0,1.8838645,6.6663747,0.0,13.539587,0.07380676,0.0,2.807345,0.0,6.343924,0.0,28.584604,25.982512,6.1508784,350.49478,11.069612,0.0,6.5871954
0.3203956,1.318985,0.0854993,0.0,10.177573,3.0990303,0.0,45.852837,16.528944,22.284414,0.06270893,4.1760345,25.534834,0.0,0.040616505,17.275976,5.7104616,0.0,11.018836,0.06811006,0.0,7.792254,0.13423856,17.208002,0.0,3.660588,3.5783417,0.0,9.609114,0.2373492,0.0,3.2319713,0.0,0.0,0.0,3.0606647,27.011446,4.0196877,32.27157,0.0,0.0,0.19835874
3.492356,0.0,0.0,0.0,0.0,0.0,0.0,57.35488,6.1125174,59.87587,0.0,0.29951507,6.468901,3.7714875,0.0,14.573218,1.6604213,0.0,22.835768,0.0,8.115062,6.24371,20.003765,0.0,0.0,0.018352423,0.53176665,0.0,0.0,0.0,0.0,3.2814023,20.255661,3.4552531,0.0,0.0,0.0,1.5519017,9.868798,0.0,4.678379,0.0
