model_accuracy,MF
0.8619408217277603,MF102
0.48700948489395285,MF117
0.5026801149357054,MF121
NaN,MF1223
0.8435084749342284,MF124
0.4446995198043717,MF13
0.6100655709171012,MF134
0.9307534120578022,MF137
0.479665915292659,MF141
0.23339059306309973,MF144
0.09206398784705803,MF167
0.2876403440253834,MF179
0.682155109129535,MF181
0.4756704138961647,MF184
0.8056128289161292,MF191
0.6729871890214287,MF195
0.6062720678443997,MF198
NaN,MF2
0.5312451080902532,MF200
0.7452343911779973,MF21
0.2500408995663702,MF257
0.36426248895136676,MF27
0.8537587977097145,MF312
0.6539142023511779,MF370
NaN,MF39
0.237690700779154,MF421
0.5479243238439182,MF439
0.12494517095835951,MF44
0.37986013534406654,MF46
0.5643756152277124,MF465
NaN,MF476
0.4744874908989162,MF478
0.6685460776412073,MF5
0.6918846007352965,MF557
0.07932481212044405,MF57
0.44006277853182496,MF59
0.35569312685501864,MF6
0.3473698657380229,MF697
0.9800813725288665,MF7
0.48720916422445415,MF78
0.2668032569089783,MF89
0.3332799968121377,MF9
