run,mean_accuracy
0,0.0
1,0.7576260545451843
2,0.7763453377220857
3,0.777491508802115
4,0.7851794047623871
5,0.8648482290478282
6,0.836820431632369
7,0.8332473922510144
8,0.8596171213377891
9,0.7714487942969773
10,0.8014268413240696
11,0.7905462987140833
12,0.8413599315335153
13,0.8368914954770394
14,0.8537034558997584
15,0.867211344307867
16,0.7655701562031599
17,0.7665192639183963
18,0.816616333693834
19,0.7722332434638667
20,0.865937928805514
21,0.7957273921933756
22,0.8350584910749876
23,0.7677870687155282
24,0.8546148245711078
25,0.8049978794847796
26,0.8345838817012174
27,0.7998000172565277
28,0.8234795049406417
29,0.7466245027321445
30,0.782444087733395
31,0.8343824579906299
32,0.8448639575245173
33,0.8677287637226498
34,0.8632324193484268
35,0.8385817124931026
36,0.8592242099189223
37,0.8540513452454807
38,0.8346011564169478
39,0.7327799780115308
40,0.7614907270547785
41,0.8147795471191659
42,0.7991382306843604
43,0.8335332671566755
44,0.7797249901751309
45,0.8017009813982978
46,0.7819560349377418
47,0.8446792994867277
48,0.7883267662576506
49,0.7808621388124318
50,0.7826688236937477
51,0.7964319060955116
52,0.8040896930949406
53,0.7979973565291717
54,0.7934614911975777
55,0.7674713740000253
56,0.8117916512685942
57,0.8552852359166405
58,0.8725218266233176
59,0.8314179912919746
60,0.795851689130483
61,0.8903912514568668
62,0.8099883458645354
63,0.7809307574362674
64,0.8003387575982576
65,0.7904567520413508
66,0.7720118978311873
67,0.7637610830029514
68,0.7777136112201638
69,0.787753375371372
70,0.8329905415657236
71,0.81885073218667
72,0.8262877526467287
73,0.7974259115228837
74,0.8217117727805732
75,0.8626901085655819
76,0.7544299663872975
77,0.7797854203512491
78,0.870647990678498
79,0.8686274819413373
80,0.8259380883380981
81,0.790393459632385
82,0.6569887091203187
83,0.8122337388396038
84,0.7888222328392676
85,0.8334525434726014
86,0.6344117805852262
87,0.8140043302931439
88,0.8281112190230894
89,0.7648340324268028
90,0.8436571355875506
91,0.7986715332583978
92,0.8513406023778879
93,0.7856281418472559
94,0.7711828884152884
95,0.7875675663133717
96,0.7959716508728586
97,0.8047736134700778
98,0.7589978012042489
99,0.8407169661748792
100,0.760639748165264
