"Hill.0";"Hill.1";"Hill.2";"forecasted_step"
28;16.171761032632;10.9586165880247;41
23;10.3460884744007;6.25014056560427;42
26;4.91976413884958;2.50871936234965;43
30;10.9764978546145;4.95631252011215;44
23;11.8714720387124;9.54284224752014;45
20;11.1651622046525;7.24809656910186;46
27;6.41092893413897;3.00000857496835;47
33;9.04563334963363;3.73042846226236;48
28;16.0939774854275;10.8950226664901;49
23;10.341930211357;6.24975901112902;50
26;4.92072482096881;2.50889065447465;51
30;10.9758744089323;4.95610762457475;52
23;11.87358066266;9.54346673576187;53
20;11.1685920301423;7.25232756767464;54
27;6.40017906414155;2.99432863072334;55
33;9.04254989820553;3.72963280898404;56
28;16.0930024054861;10.8939111174047;57
23;10.3416015008166;6.25005075371689;58
26;4.92122378441439;2.50884238307406;59
30;10.9750925577949;4.95586763908684;60
23;11.8752767214998;9.54382778500075;61
20;11.1695503815446;7.25464059963007;62
27;6.39493801280739;2.99125385852504;63
33;9.0408733401695;3.72922751456959;64
28;16.0937623584101;10.8944591980809;65
23;10.3415850347686;6.25044563859889;66
26;4.92169927353911;2.50880702869511;67
30;10.9744829408445;4.95570865878595;68
23;11.8766721955182;9.54401827622794;69
20;11.1693971748108;7.25601199286099;70
27;6.39243700593804;2.98951033094162;71
33;9.03995617843552;3.72903406114044;72
28;16.0952938729102;10.8957703889802;73
23;10.3417184090949;6.25088749741818;74
26;4.92215689608445;2.50878232132573;75
30;10.9739867564884;4.9556048668193;76
23;11.8778824401201;9.54412105918118;77
20;11.1687445569031;7.25691002103189;78
27;6.3914200254257;2.98851228682658;79
33;9.03946751855132;3.72896051845133;80
