"Hill.0";"Hill.1";"Hill.2";"forecasted_step"
30;17.6438606235956;12.4456158442762;41
23;11.0958218193609;7.02145901050781;42
26;5.12966287007082;2.55663243775686;43
30;11.4065259507955;5.20603041097663;44
23;12.2196532729748;9.8116872451542;45
21;12.1313159900614;7.99069024022732;46
26;7.33657917106032;3.52809801776889;47
32;9.57879798111691;3.88657604887594;48
30;17.995437167477;12.716043226835;49
23;11.1766834807719;7.04552066372258;50
26;5.13059945536544;2.55735915444346;51
30;11.4104327707822;5.20778399898342;52
23;12.2190304079334;9.8113301434086;53
21;12.1330588028023;7.99127121583529;54
26;7.33667191908531;3.52798815617483;55
32;9.57806650590793;3.8863496776083;56
30;17.9936591610799;12.7140190600373;57
23;11.1758426437088;7.04495604009438;58
26;5.13055974503083;2.55731468586819;59
30;11.4105157233521;5.20787294203713;60
23;12.218476340086;9.81089549641856;61
21;12.133753078106;7.9915008416185;62
26;7.33760212255827;3.52843628172641;63
32;9.57810774424342;3.88634914195832;64
30;17.9948736003247;12.7143768935872;65
23;11.1756035816068;7.04457339839269;66
26;5.13054462632245;2.55728540501369;67
30;11.410630989412;5.20796980429395;68
23;12.2179475830596;9.81046511584756;69
21;12.1343852302123;7.99174851491276;70
26;7.33850006848078;3.528871651275;71
32;9.57801863207697;3.88629422825429;72
30;17.9961338337498;12.714804585137;73
23;11.1754023375774;7.04422166220503;74
26;5.13053888116823;2.55725832104013;75
30;11.4107406284899;5.2080606595389;76
23;12.2174474439718;9.81004592502175;77
21;12.1349533353173;7.99198983913727;78
26;7.33935144228315;3.52928289128362;79
32;9.57781582840989;3.88619386588458;80
