"Hill.0";"Hill.1";"Hill.2";"forecasted_step"
29;16.9686378544973;11.7711353887071;41
25;12.0029294866802;7.71029333581014;42
27;5.13647560867023;2.57146724574461;43
31;12.2268658729821;5.46459413668659;44
24;12.5176024616398;9.9757404932327;45
21;12.1254770833725;7.9214032133262;46
28;7.01813824513973;3.18504272993639;47
34;9.92038870568983;4.00850156666556;48
29;16.9719994685221;11.7726856839066;49
25;12.0091923900724;7.71209725745221;50
27;5.13703102990292;2.5714264605822;51
31;12.2255250049043;5.46432605514643;52
24;12.522693390839;9.97781340660582;53
21;12.1251207721459;7.92228548459635;54
28;7.02948815754857;3.19231764298599;55
34;9.92610089004682;4.01072709932073;56
29;16.9793057279433;11.7803982139432;57
25;12.0145264967142;7.71365122676993;58
27;5.13751486755937;2.5713603691329;59
31;12.2242061080323;5.46406234429177;60
24;12.5276296867366;9.97987767944615;61
21;12.1250108289882;7.9233875121203;62
28;7.04080327513731;3.19965403471251;63
34;9.93172462084751;4.01294691581142;64
29;16.9865723003843;11.7880195883166;65
25;12.0190659081814;7.71485619613961;66
27;5.13792115028393;2.5712663027263;67
31;12.2228898622716;5.46379598409409;68
24;12.5322480824689;9.98182816443813;69
21;12.1248305699777;7.92438145009685;70
28;7.05217912939329;3.20707914683275;71
34;9.93732290338816;4.01518622506817;72
29;16.9938501156209;11.7956061954475;73
25;12.0230375380582;7.71587890391136;74
27;5.13826093908049;2.57114880568014;75
31;12.221576784037;5.4635262556895;76
24;12.5366081040402;9.98368710996095;77
21;12.1246069285133;7.92529443520362;78
28;7.06368480842585;3.21462204608563;79
34;9.94293950949284;4.01746333747965;80
