".y.";"group1";"group2";"n1";"n2";"statistic";"p";"p.adj";"p.adj.signif"
"RMSE";"LOESS";"RNN";39;39;1152;6.02e-05;0.000181;"***"
"RMSE";"LOESS";"SARIMA";39;39;904;0.154;0.154;"ns"
"RMSE";"RNN";"SARIMA";39;39;468;0.003;0.006;"**"
