model_accuracy,MF
0.928819953204171,MF102
0.5148717723965425,MF117
0.28130325723281974,MF121
0.5144955346937985,MF124
0.2739766418449141,MF13
0.6763974916009056,MF134
0.7748358656580105,MF137
0.3318855303251471,MF141
0.5778664148368916,MF144
0.2845686114466527,MF167
0.553189617708676,MF179
0.5569490284163178,MF181
0.6873101118132993,MF184
0.7114215278034565,MF191
0.7278456012352422,MF195
0.821372307973074,MF198
0.6370638282254413,MF200
0.6225003134897921,MF21
0.18078566182629957,MF257
0.30070900287618946,MF27
0.8509389654039607,MF312
0.36878024972643725,MF370
NaN,MF39
0.20760748904033297,MF421
0.6114235377694682,MF439
0.23606002000986687,MF44
0.6178434376779792,MF46
NaN,MF465
0.48750100454189016,MF476
0.3313904460722844,MF478
0.6256888745280336,MF5
NaN,MF557
0.12474973217947968,MF57
0.4937859001707737,MF59
0.6847685304285336,MF6
0.9043399889014981,MF7
0.6458410511700072,MF78
0.6538030233737538,MF89
0.5164603620418908,MF9
