training_frame,windows_start,windows_end,epoch_number,mean_accuracy
3,1,6,50000,0.5461293530481538
3,2,7,50000,0.30900210568027503
3,3,8,50000,0.305429327955293
3,4,9,50000,0.3195942309230088
3,5,10,50000,0.3154790406720127
3,6,11,50000,0.4097049935530494
3,7,12,50000,0.3297428296812741
3,8,13,50000,0.4304556125737335
3,9,14,50000,0.30668109236995017
3,10,15,50000,0.46809105797061024
3,11,16,50000,0.3296540303398467
3,12,17,50000,0.3512816798488303
3,13,18,50000,0.32871572385562775
3,14,19,50000,0.2951906692228357
3,15,20,50000,0.3175691194408635
3,16,21,50000,0.3187459724181243
3,17,22,50000,0.32938187144210607
3,18,23,50000,0.28536391627887747
3,19,24,50000,0.3621539692250913
3,20,25,50000,0.3632597655228091
3,21,26,50000,0.2937929774334446
3,22,27,50000,0.3162210701550342
3,23,28,50000,0.2961647344311408
3,24,29,50000,0.32318320768357595
3,25,30,50000,0.43073191652090115
3,26,31,50000,0.31790166094980554
3,27,32,50000,0.29823945786824885
3,28,33,50000,0.39999548526235185
3,29,34,50000,0.30321855746050047
3,30,35,50000,0.339382130061971
