training_frame,windows_start,windows_end,epoch_number,mean_accuracy
7,1,14,50000,0.2767709188894956
7,2,15,50000,0.3900926452505289
7,3,16,50000,0.415384414937971
7,4,17,50000,0.32855454606193285
7,5,18,50000,0.20333764909789115
7,6,19,50000,0.46171083819213443
7,7,20,50000,0.4031446892880336
7,8,21,50000,0.3549913199502419
7,9,22,50000,0.3968357689889714
7,10,23,50000,0.3382525658280602
7,11,24,50000,0.3947914396346794
7,12,25,50000,0.3207510212128324
7,13,26,50000,0.3109604101377971
7,14,27,50000,0.3142142696954098
7,15,28,50000,0.3667236901269907
7,16,29,50000,0.41085188874432105
7,17,30,50000,0.3298611160385014
7,18,31,50000,0.30220946704107776
7,19,32,50000,0.28397685951189056
7,20,33,50000,0.2951211507546552
7,21,34,50000,0.3297453437091819
7,22,35,50000,0.27064028601532214
