MF102,MF117,MF121,MF124,MF13,MF134,MF137,MF141,MF144,MF167,MF179,MF181,MF184,MF191,MF195,MF198,MF200,MF21,MF257,MF27,MF312,MF370,MF39,MF421,MF439,MF44,MF46,MF465,MF476,MF478,MF5,MF557,MF57,MF59,MF6,MF7,MF78,MF89,MF9
5.337005,23.692492,3.2258065,0.0,4.007586,15.303003,31.091,11.34949,57.43493,0.0,0.0,10.314596,14.36982,7.8586974,9.478804,4.0833507,2.6533413,3.475572,4.650263,3.8005595,19.698784,41.497005,3.1578948,4.1162786,44.029346,1.0000675,29.474672,2.9126213,0.0,8.689683,50.581017,6.686483,8.00158,0.0,0.0,714.8741,10.377611,3.1578948,0.0
19.715946,27.805899,0.0,96.58339,22.80683,46.941498,55.10669,71.799515,47.030518,5.167196,0.0,52.96926,0.0,87.34127,94.11627,30.85154,0.0,14.243691,0.0,22.342386,38.68915,91.77944,15.837804,0.0,28.44652,7.471472,24.930256,0.0,24.350357,5.111726,15.929214,4.978645,0.0,23.30375,57.844402,1256.7479,38.393215,2.5312748,3.0912666
15.892608,8.877247,0.0,61.13258,9.272262,17.498987,103.39427,21.559637,0.0,15.244561,9.203002,70.03722,7.557831,31.478031,56.314877,17.142746,23.26245,3.8702793,1.2230561,16.4829,21.392464,95.82947,7.555094,0.0,40.24359,6.3231435,2.9702775,0.0,1.8472096,8.246688,0.0,2.921892,0.0,21.992596,28.507572,316.15106,0.0,0.0,1.6445552
0.99809206,28.330786,0.0,58.427063,0.0,17.332666,157.31944,80.12191,19.019514,4.7029843,0.0,24.91597,0.0,8.093704,55.68467,5.921381,9.607889,0.0,15.444947,13.246,10.068426,0.0,0.0,0.0,32.397694,0.34032863,9.059192,0.0,0.9364905,12.430977,0.0,8.370134,5.325324,0.0,90.32814,241.66914,0.0,5.7843018,0.0
0.0,9.601984,0.0,0.0,6.4039664,7.740252,117.2243,23.785078,20.074036,8.668342,6.9509053,33.891193,0.2775298,0.0,21.651487,8.739174,20.7438,0.0,2.8442202,7.19526,6.558856,14.66881,0.0,0.0,11.026262,2.9155586,0.2541424,0.0,0.0,5.6863127,0.0,1.0701549,0.9649907,1.1325275,36.09543,126.93364,0.0,6.572186,3.4381669
6.1555815,15.274966,0.0,0.0,0.0,24.452656,48.33257,12.4101515,39.557323,3.2638533,7.664847,16.95553,4.5043416,0.0,0.0,2.3154874,12.742558,0.0,6.6402955,4.4562497,22.54652,44.366512,0.0,0.0,6.9296055,10.40156,6.0903482,0.0,0.0,0.67769635,57.0605,0.67746276,3.4229367,0.0,0.0,536.2019,2.826533,15.086067,3.65245
35.505405,14.176755,0.0,137.98114,37.57886,33.6849,35.943375,32.891975,53.154694,6.3927684,2.3942556,23.969177,0.0,99.71295,104.372284,36.438793,8.19911,20.420395,0.0,8.273728,34.174107,47.12421,7.189336,0.0,20.12302,6.2904453,5.5706563,0.0,9.094291,3.1497135,15.9289875,7.0882397,0.0,15.943251,18.228222,914.50275,28.024511,2.7363358,5.287172
12.015401,3.9794521,0.0,41.3704,10.642899,0.7807729,94.64122,4.772669,15.581425,17.598282,3.563521,31.691084,0.0,3.7591374,30.661781,7.5956097,30.469116,0.0,10.747282,6.8126993,9.265669,14.717809,0.0,0.0,29.792591,0.9184343,1.8024194,0.0,7.5611086,2.0587277,0.0,2.060636,5.88497,0.0,8.060448,55.36852,0.0,0.0,0.0
0.0,4.0846677,0.0,0.0,3.3288238,4.5920825,126.04692,9.389341,7.9021707,8.203387,13.723996,41.758373,3.7804444,0.0,15.974574,2.4333131,17.453465,0.0,6.869284,0.0,20.045662,26.224834,0.0,0.0,12.504961,3.2989113,0.0,0.0,0.0,3.8191893,1.32008,0.0,0.0,0.0,27.059772,90.07016,0.0,0.36331248,2.6577406
6.085268,26.73142,0.0,0.0,4.0465145,37.510265,93.45098,27.637844,0.0,10.673894,8.976066,20.03335,3.3561509,15.519213,0.0,6.5604753,24.560259,4.7381806,4.236892,7.602427,26.905193,225.11227,3.20306,0.0,39.616325,0.33319587,3.5656822,0.0,0.0,0.0,71.98236,6.987598,0.0,0.0,0.0,1083.3064,21.790121,0.82796055,0.0
