MF102,MF117,MF121,MF124,MF13,MF134,MF137,MF141,MF144,MF167,MF179,MF181,MF184,MF191,MF195,MF198,MF200,MF21,MF257,MF27,MF312,MF370,MF39,MF421,MF439,MF44,MF46,MF465,MF476,MF478,MF5,MF557,MF57,MF59,MF6,MF7,MF78,MF89,MF9
5.337005,23.692492,3.2258065,0.0,4.007586,15.303003,31.091,9.079592,57.43493,0.0,0.0,10.314596,14.36982,7.8586974,9.478804,4.0833507,2.6533413,3.475572,4.650263,3.8005595,19.698784,41.497005,3.1578948,4.1162786,44.029346,1.0000675,29.474672,2.9126213,0.0,8.689683,50.581017,6.686483,8.00158,0.0,0.0,714.8741,10.377611,3.1578948,0.0
0.0,19.464067,0.0,33.550003,13.440827,15.7018,91.26519,48.70852,0.0,12.019269,5.3863573,81.33186,0.10260925,29.438654,64.42109,11.771473,14.30504,0.0,0.0,16.911068,10.531704,37.56403,0.0,0.0,16.02241,0.0,20.41216,0.0,0.0,27.578176,0.0,5.4219837,0.0,2.0453594,112.23987,329.8403,0.0,0.0,0.0
0.0,11.802637,0.0,29.884417,9.265314,13.226044,79.15253,29.069403,22.618309,9.466292,6.943511,101.75965,1.5269307,29.742514,56.3485,10.985232,21.509428,0.0,0.0,21.259617,14.298464,51.67804,1.6916726,0.0,15.06562,0.64794487,5.342419,0.0,0.99336046,18.383732,0.0,0.26656455,0.0,18.350765,107.41692,204.78027,0.0,0.0,3.309054
0.0,3.492762,0.0,0.0,0.2448301,4.8715134,115.49268,1.4729846,5.8441973,0.0,10.912587,44.15446,9.381041,0.43081307,59.74423,0.0,50.361954,0.0,6.9892354,6.961604,11.594452,2.183391,0.0,0.0,12.113262,0.2901196,0.0,0.0,0.2470967,8.195884,6.8023953,1.7310258,0.0,0.0,21.837101,9.117898,0.0,3.5911498,5.957104
3.3412285,13.651087,0.0,0.0,0.0,27.105791,51.41682,26.205847,16.066217,7.4959383,15.845219,30.372477,20.983963,0.0,0.0,2.5043442,20.47466,0.0,5.494436,15.866967,22.413834,97.78306,0.0,0.0,6.3678308,0.0,33.28303,0.0,0.0,3.4139931,137.0429,10.001702,3.6565905,0.0,0.0,382.3948,15.813611,0.0,1.7809153
30.042673,9.045998,0.0,22.199265,9.495127,41.618465,55.71926,63.17528,84.54653,0.0,0.0,26.86009,5.785889,63.87823,125.80585,23.75807,0.0,3.5703812,0.0,21.025461,51.49044,15.205366,11.466717,0.0,7.8638,14.471676,50.944946,0.0,42.968903,2.7312262,34.128876,11.024828,0.0,45.144444,42.129402,1195.1494,37.895134,3.7056642,7.952301
3.7690377,8.392586,0.0,17.65143,3.8141413,3.3023255,100.068985,21.847422,44.6674,7.062024,0.8637805,47.59185,3.0225112,9.479595,36.972824,11.361243,18.235594,0.0,6.463966,11.206891,7.1578174,24.020859,0.0,0.0,8.2258415,1.4203143,7.6276565,0.0,3.2702186,3.5779445,4.1745863,0.0,12.536718,22.115253,34.808468,51.50752,0.0,0.0,6.1751113
0.0,0.9781966,0.0,0.0,0.0,2.3757014,150.06209,21.442074,18.797813,0.0,2.69491,19.662176,0.0,0.0,10.388201,0.0,12.499844,0.0,38.400784,15.435393,20.103374,0.0,0.0,0.0,3.5081782,0.0,0.0,0.0,0.0,0.0,8.847344,3.468325,3.0795004,0.0,3.7916906,10.369577,0.0,10.636163,0.0
7.75468,16.782393,0.0,0.0,0.0,18.329699,59.873646,38.228405,32.974472,9.625875,6.661066,19.935698,5.0209556,0.0,0.0,9.6915655,4.67793,0.0,19.293701,30.853436,21.829296,56.090866,0.0,0.0,4.0734634,0.0,43.48122,0.0,0.051882904,6.7521772,69.58747,10.576451,4.202964,0.0,0.0,459.50143,16.382555,9.312596,2.687086
27.44403,4.5926886,0.0,21.93331,4.3099027,30.984335,28.463097,38.19084,50.321888,0.0,7.28558,14.094759,2.9594076,15.48691,67.687874,18.691319,10.078764,6.8053727,0.0,16.167244,25.733414,46.96474,4.5712748,0.0,4.333681,0.0,9.4204645,0.0,13.326224,2.7063177,18.300833,5.322824,0.0,36.32035,29.528805,344.916,10.483523,0.0,8.864437
