MF102,MF117,MF121,MF124,MF13,MF134,MF137,MF141,MF144,MF167,MF179,MF181,MF184,MF191,MF195,MF198,MF200,MF21,MF257,MF27,MF312,MF370,MF39,MF421,MF439,MF44,MF46,MF465,MF476,MF478,MF5,MF557,MF57,MF59,MF6,MF7,MF78,MF89,MF9
5.337005,23.692492,3.2258065,0.0,3.2060688,15.303003,31.091,11.34949,57.43493,0.0,0.0,10.314596,14.36982,7.8586974,9.478804,4.0833507,2.6533413,3.475572,4.650263,3.8005595,19.698784,41.497005,3.1578948,4.1162786,44.029346,1.0000675,29.474672,2.9126213,0.0,8.689683,50.581017,6.686483,8.00158,0.0,0.0,714.8741,10.377611,3.1578948,0.0
0.0,19.463455,0.0,33.455593,13.432369,15.701714,91.31789,48.68553,0.0,12.035309,5.3906927,81.3855,0.10989693,29.420712,64.40473,11.76673,14.302521,0.0,0.0,16.934155,10.553031,37.682266,0.0,0.0,15.993385,0.0,20.434256,0.0,0.0,27.58869,0.0,5.423031,0.0,2.0510442,112.21877,330.21786,0.0,0.0,0.0
0.0,11.81143,0.0,29.923271,9.257658,13.240118,79.16655,29.11784,22.680529,9.468778,6.9220743,101.73276,1.5121238,29.768473,56.36023,10.994488,21.470417,0.0,0.0,21.284466,14.320426,51.69929,1.7059932,0.0,15.072033,0.6490633,5.3579707,0.0,1.0025839,18.37817,0.0,0.27277446,0.0,18.388996,107.42944,205.2586,0.0,0.0,3.31067
0.0,3.557777,0.0,0.0,0.2794271,4.859894,115.50864,1.6332715,5.7122107,0.0,10.941612,44.48012,9.339527,0.48844385,59.785282,0.0,50.284832,0.0,6.870836,7.049564,11.552584,2.4313688,0.0,0.0,12.2047,0.26010722,0.0,0.0,0.2514979,8.2745695,6.747402,1.725658,0.0,0.0,22.234264,9.294277,0.0,3.4778304,5.9190536
3.3070498,13.646331,0.0,0.0,0.0,27.075975,51.520576,26.159164,16.008944,7.522404,15.84299,30.404663,20.986534,0.0,0.0,2.493744,20.469345,0.0,5.5179324,15.877146,22.388687,97.78235,0.0,0.0,6.3436766,0.0,33.272934,0.0,0.0,3.4201012,136.95973,9.995634,3.653198,0.0,0.0,381.91608,15.77756,0.0,1.781229
30.038845,9.04734,0.0,22.172142,9.491594,41.613926,55.743484,63.154545,84.57434,0.0,0.0,26.892103,5.7893176,63.87271,125.79986,23.748014,0.0,3.5662174,0.0,21.034937,51.491074,15.23061,11.465005,0.0,7.8680444,14.481642,50.94578,0.0,42.9607,2.7303474,34.15732,11.021559,0.0,45.136272,42.111843,1195.2076,37.885056,3.7100487,7.9493213
3.7631588,8.394049,0.0,17.639893,3.8133311,3.3019204,100.10051,21.842234,44.65353,7.064116,0.86889553,47.607876,3.0214512,9.474443,36.977745,11.35965,18.239676,0.0,6.469157,11.213408,7.162583,24.016747,0.0,0.0,8.224234,1.41783,7.625834,0.0,3.2708404,3.5782573,4.175354,0.0,12.534801,22.112501,34.814266,51.514725,0.0,0.0,6.1736054
0.0,0.97711015,0.0,0.0,0.0,2.3779445,150.08441,21.430794,18.803053,0.0,2.6970618,19.668276,0.0,0.0,10.384915,0.0,12.502602,0.0,38.408924,15.439622,20.106567,0.0,0.0,0.0,3.506326,0.0,0.0,0.0,0.0,0.0,8.856194,3.4675598,3.0791554,0.0,3.7833128,10.387968,0.0,10.638512,0.0
7.7508273,16.783724,0.0,0.0,0.0,18.324686,59.887333,38.21262,32.9544,9.629739,6.661091,19.95415,5.022937,0.0,0.0,9.688798,4.6857944,0.0,19.300053,30.855375,21.83342,56.11859,0.0,0.0,4.074801,0.0,43.479378,0.0,0.047791403,6.756667,69.60121,10.573994,4.2037673,0.0,0.0,459.52332,16.372868,9.314092,2.6859314
27.44148,4.595689,0.0,21.912134,4.3062506,30.98333,28.481052,38.183765,50.315804,0.0,7.293318,14.115494,2.964175,15.479512,67.68771,18.690039,10.083904,6.8017,0.0,16.173569,25.73549,46.989536,4.5677395,0.0,4.3340607,0.0,9.422195,0.0,13.321231,2.7091935,18.322714,5.3215,0.0,36.320927,29.52301,344.92633,10.480109,0.0,8.863394
