MF102,MF117,MF121,MF124,MF13,MF134,MF137,MF141,MF144,MF167,MF179,MF181,MF184,MF191,MF195,MF198,MF200,MF21,MF257,MF27,MF312,MF370,MF39,MF421,MF439,MF44,MF46,MF465,MF476,MF478,MF5,MF557,MF57,MF59,MF6,MF7,MF78,MF89,MF9
5.337005,23.692492,3.2258065,0.0,4.007586,15.303003,31.091,11.34949,57.43493,0.0,0.0,10.314596,14.36982,7.8586974,3.7915215,4.0833507,2.6533413,3.475572,4.650263,3.8005595,19.698784,41.497005,3.1578948,4.1162786,44.029346,1.0000675,29.474672,2.9126213,0.0,8.689683,50.581017,6.686483,8.00158,0.0,0.0,714.8741,10.377611,3.1578948,0.0
0.0,19.467216,0.0,33.591854,13.444636,15.698733,91.229385,48.72023,0.0,12.012686,5.3882217,81.31339,0.09701678,29.44582,64.40688,11.771318,14.303057,0.0,0.0,16.906723,10.519214,37.523167,0.0,0.0,16.023615,0.0,20.400618,0.0,0.0,27.57303,0.0,5.425557,0.0,2.0424035,112.264435,329.6397,0.0,0.0,0.0
0.0,11.7999115,0.0,29.807539,9.260636,13.218076,79.158325,29.02077,22.501047,9.463525,6.963223,101.77026,1.5463299,29.70687,56.33002,10.976701,21.548199,0.0,0.0,21.246365,14.277342,51.685085,1.6743112,0.0,15.0369,0.63628644,5.332937,0.0,0.9863002,18.395267,0.0,0.27381378,0.0,18.33167,107.387146,204.33612,0.0,0.0,3.3140826
0.0,3.441803,0.0,0.0,0.20907882,4.881517,115.48163,1.3435576,5.934605,0.0,10.891855,43.888702,9.418021,0.3819072,59.699284,0.0,50.42694,0.0,7.086942,6.894274,11.633976,1.9980236,0.0,0.0,12.03157,0.31226248,0.0,0.0,0.23942368,8.130563,6.8572087,1.7382473,0.0,0.0,21.504234,8.957153,0.0,3.68372,5.9889283
3.3614006,13.653596,0.0,0.0,0.0,27.129175,51.345512,26.235395,16.084126,7.4772096,15.850403,30.355389,20.98832,0.0,0.0,2.5091996,20.480932,0.0,5.4825826,15.862252,22.43246,97.81032,0.0,0.0,6.3820596,0.0,33.29235,0.0,0.0,3.410026,137.1179,10.008727,3.6604722,0.0,0.0,382.6981,15.83996,0.0,1.7816467
30.036163,9.048122,0.0,22.197355,9.490551,41.61896,55.71294,63.19437,84.47333,0.0,0.0,26.839804,5.7860837,63.869602,125.79543,23.763567,0.0,3.5705445,0.0,21.020845,51.48802,15.202641,11.465122,0.0,7.851126,14.456984,50.950268,0.0,42.976154,2.7352319,34.115593,11.032142,0.0,45.155525,42.143032,1195.0454,37.905865,3.6994991,7.9550767
3.7686186,8.392517,0.0,17.644123,3.8082662,3.3028195,100.04211,21.848728,44.654926,7.059769,0.86027336,47.580067,3.0284832,9.485734,36.96574,11.363052,18.231846,0.0,6.459939,11.207943,7.1529665,24.046896,0.0,0.0,8.217945,1.4146726,7.6284237,0.0,3.2658136,3.5823028,4.1811447,0.0,12.536822,22.12275,34.79773,51.49907,0.0,0.0,6.1782103
0.0,0.9823272,0.0,0.0,0.0,2.3714526,150.0528,21.449799,18.775423,0.0,2.6964157,19.658426,0.0,0.0,10.386567,0.0,12.500881,0.0,38.398872,15.438132,20.10556,0.0,0.0,0.0,3.5005171,0.0,0.0,0.0,0.0,0.0,8.843332,3.4711506,3.0802283,0.0,3.7961774,10.349563,0.0,10.637164,0.0
7.751621,16.78132,0.0,0.0,0.0,18.334265,59.8699,38.238625,32.967964,9.626316,6.6641226,19.922977,5.024013,0.0,0.0,9.691796,4.6719866,0.0,19.293076,30.85495,21.82191,56.087685,0.0,0.0,4.063756,0.0,43.488194,0.0,0.055344027,6.750409,69.58401,10.582453,4.2024746,0.0,0.0,459.42584,16.392647,9.310446,2.6884913
27.438635,4.5947275,0.0,21.931036,4.306088,30.982595,28.457096,38.195,50.27687,0.0,7.283137,14.084106,2.959391,15.481955,67.67668,18.689825,10.07679,6.8049154,0.0,16.164768,25.731472,46.962887,4.571718,0.0,4.3273625,0.0,9.419452,0.0,13.328833,2.7084143,18.295088,5.325585,0.0,36.32424,29.531643,344.84317,10.48543,0.0,8.8656
0.0,0.93108964,0.045790624,10.426967,3.224175,4.19234,44.96638,16.546772,25.562065,0.0,3.6082287,24.700542,0.0,0.0,16.515738,5.6368885,10.45944,0.0,0.0,7.1857076,0.0,16.676718,0.0,0.0,4.132614,0.0,9.69661,0.0,0.0,2.745838,0.98921746,0.0,0.0,2.7212422,26.360226,31.969501,0.0,0.0,0.0
3.898653,0.0,0.0,0.0,0.0,2.1813192,57.04645,6.3054647,62.016304,0.0,0.0,5.7934713,3.2458475,0.0,14.325557,1.4040291,22.530632,0.0,8.316841,5.6815796,20.113823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1649635,21.4036,2.965143,3.3674307,0.0,6.9551325,10.124369,0.0,4.612167,0.0
10.493738,22.753948,0.0,0.0,0.0,22.590652,34.40636,13.855853,39.162407,0.0,13.196166,18.509031,9.947101,0.0,0.0,0.0,29.613573,0.0,8.018139,13.710839,30.099752,38.95026,0.0,0.0,6.7382503,1.6884129,10.834047,0.0,0.0,3.913264,131.5738,0.0,6.1066175,0.0,0.0,436.96057,3.7309716,3.499786,2.004649
41.690334,0.0,0.0,18.229273,0.46779725,30.808758,12.747557,26.586042,429.97644,0.0,13.302671,17.214922,2.9228213,17.226679,49.69227,20.056858,2.8684924,13.530974,0.0,32.51352,33.109726,21.829462,11.540744,0.0,9.791658,45.55685,9.38521,0.0,9.414576,0.0,35.62927,0.0,0.0,10.913733,14.672557,416.03372,15.249867,0.3201021,3.1547935
3.5134945,7.054509,0.0,9.085468,11.768829,3.7344613,81.67631,6.190405,0.0,3.3303041,12.803065,25.3262,0.0,9.0440035,32.632008,11.655535,7.728931,0.0,0.0,16.61488,0.0,6.312563,0.0,0.0,6.0044327,0.0,8.5557,0.0,4.1350803,6.48503,0.0,16.01563,5.791396,0.0,40.03976,67.626335,0.0,0.0,3.06632
0.26996934,1.6159235,0.0,1.6389846,0.66501474,0.0,83.40922,6.788727,15.339878,0.0,12.189564,17.827477,5.5688405,0.042094022,19.188639,2.9961357,18.839588,0.0,3.382063,6.0243726,21.440372,0.0,0.0,0.0,15.017052,2.6190228,0.0,0.0,0.0,0.0,8.188751,3.0960155,0.1857828,0.0,9.765875,11.2737255,0.0,9.948311,0.0
4.1746674,21.65819,0.0,0.0,0.0,30.526325,36.3019,12.098759,17.652847,7.548272,15.160702,8.466858,13.483952,0.0,0.0,1.4092642,23.918802,0.0,6.342547,3.5662706,15.796885,40.660954,8.065434,0.0,0.0,31.29467,4.290237,0.0,0.0,3.0173845,98.472,7.6534033,5.3381076,9.591709,0.0,301.9489,18.559254,3.332684,0.0
22.110588,5.8030286,0.0,12.677711,0.0,37.43737,18.2314,25.957775,38.094963,0.0,2.6761158,10.399623,4.4672046,21.263842,95.37726,31.197786,3.3065572,2.8005774,0.0,20.246008,21.325686,23.431091,6.9256754,1.9547895,13.675091,0.047930434,8.74847,0.0,26.253216,3.2775075,28.383066,5.494658,0.0,8.992295,11.3968935,385.9411,20.966356,3.6568947,3.4658873
4.3205924,3.144349,0.0,8.002413,13.811354,2.1690583,71.90545,9.065238,15.0126915,4.4144597,4.5444775,24.940012,0.0,10.421777,26.22582,6.6569295,19.394838,0.0,0.0,1.5147078,1.9915372,23.58619,0.0,0.0,8.442032,0.0,3.757033,0.0,0.0,11.911568,4.214055,0.0,3.5644236,0.84344566,41.200836,59.076153,0.0,0.0,1.2735549
0.0,1.7147374,0.0,0.0,0.488394,2.612889,56.449123,3.725391,5.3267903,3.3269312,4.431343,5.631378,2.9606574,0.0,13.762524,2.8551774,11.308548,0.0,0.0,3.7920728,5.406627,0.0,0.0,0.0,7.6971316,0.82511514,0.0,0.0,0.13697366,0.0,5.9258947,0.0,0.0,3.0265713,1.3824745,20.526917,0.0,0.0,0.0
6.45301,13.684388,0.0,0.0,0.0,12.963481,26.611862,17.792797,0.0,2.7840302,4.196393,14.258371,3.30794,0.0,13.447487,7.263385,13.334831,0.0,10.357114,0.0,21.497635,51.247562,0.0,0.0,14.996212,2.0350735,10.637226,0.0,0.0,4.0792274,49.082775,5.8670244,6.2074294,23.484903,0.0,310.99918,17.372389,3.7413254,0.0
37.99195,27.562952,0.0,64.46281,0.0,18.961828,27.161,30.257132,0.0,0.0,0.0,19.291391,11.442645,90.69146,209.10748,32.822918,10.314648,3.5981464,0.0,18.296364,38.909542,37.145126,1.796544,0.0,16.405952,0.0,12.413128,0.0,6.055948,45.695053,33.529724,9.659862,0.0,6.593092,18.678982,707.3158,9.677443,4.092845,2.4792519
0.0,7.963751,0.0,11.684369,11.683608,4.8030987,95.91377,10.360876,21.4055,4.4426847,13.288447,34.64255,0.0,0.0,30.985909,5.4048944,10.316896,0.0,10.670696,11.602122,4.7099967,0.0,0.0,0.0,8.507887,0.0,10.146238,0.0,0.0,2.9350276,0.0,3.730791,6.0975065,0.0,47.497803,63.724293,0.0,11.357164,1.2641246
0.0,1.9271207,0.0,0.0,10.437607,1.0931649,113.4063,0.0,15.979052,3.176019,12.260422,36.368057,2.8405833,0.0,26.409893,1.0672488,23.71814,0.0,3.7056572,3.8110209,7.2023478,1.9761112,0.0,0.0,17.597769,1.6173105,0.06777507,0.0,0.0,2.5127385,6.337287,0.0,0.0,0.0,14.53789,49.398796,0.0,6.622768,0.0
7.2240005,19.920109,0.0,0.0,3.8276787,25.609608,38.91748,13.767044,13.728685,5.841143,6.024257,17.557062,3.3551118,5.4542055,9.696812,6.572562,8.473265,0.0,2.5382922,3.1531696,23.241146,55.87033,0.0,0.0,9.935013,9.879856,11.383202,0.0,0.25539663,3.327842,48.04206,5.550832,3.3684309,0.0,0.0,657.7889,7.8557534,17.25171,3.134144
