MF102,MF117,MF121,MF124,MF13,MF134,MF137,MF141,MF144,MF167,MF179,MF181,MF184,MF191,MF195,MF198,MF200,MF21,MF257,MF27,MF312,MF370,MF39,MF421,MF439,MF44,MF46,MF465,MF476,MF478,MF5,MF557,MF57,MF59,MF6,MF7,MF78,MF89,MF9
5.337005,23.692492,3.2258065,0.0,4.007586,15.303003,31.091,11.34949,57.43493,0.0,0.0,10.314596,14.36982,7.8586974,9.478804,4.0833507,2.6533413,3.475572,4.650263,3.0404477,19.698784,41.497005,3.1578948,4.1162786,44.029346,1.0000675,29.474672,2.9126213,0.0,8.689683,50.581017,6.686483,8.00158,0.0,0.0,714.8741,10.377611,3.1578948,0.0
0.0,19.468328,0.0,33.60758,13.446204,15.6982,91.21742,48.725864,0.0,12.01076,5.388254,81.30768,0.09465298,29.449585,64.40214,11.770982,14.30172,0.0,0.0,16.906137,10.515247,37.51228,0.0,0.0,16.022966,0.0,20.397795,0.0,0.0,27.57199,0.0,5.4276032,0.0,2.0423124,112.275696,329.58698,0.0,0.0,0.0
0.0,11.799375,0.0,29.776674,9.25865,13.215616,79.163025,29.002647,22.447268,9.46273,6.97074,101.77227,1.5532615,29.692228,56.322956,10.973071,21.562796,0.0,0.0,21.241856,14.269088,51.688,1.667462,0.0,15.025091,0.6305737,5.3302183,0.0,0.98385125,18.400383,0.0,0.27799457,0.0,18.324684,107.37664,204.17146,0.0,0.0,3.3160176
0.0,3.4228282,0.0,0.0,0.19533569,4.885584,115.47873,1.2966268,5.967714,0.0,10.883863,43.7905,9.431898,0.36363345,59.681564,0.0,50.450436,0.0,7.1235785,6.8697863,11.647688,1.9348825,0.0,0.0,12.001139,0.3204865,0.0,0.0,0.23645537,8.106557,6.8759785,1.7411829,0.0,0.0,21.381237,8.8999,0.0,3.7171297,6.000856
3.3682604,13.653736,0.0,0.0,0.0,27.137457,51.323555,26.246778,16.0897,7.470313,15.851985,30.349947,20.990284,0.0,0.0,2.5106645,20.483587,0.0,5.4798217,15.8609915,22.439392,97.823006,0.0,0.0,6.3873534,0.0,33.295494,0.0,0.0,3.4079123,137.14285,10.01055,3.66137,0.0,0.0,382.79758,15.84878,0.0,1.7824116
30.033329,9.048538,0.0,22.195202,9.488541,41.619267,55.712048,63.202763,84.441055,0.0,0.0,26.831305,5.7862353,63.865643,125.791985,23.765648,0.0,3.5705948,0.0,21.018797,51.48747,15.202925,11.464203,0.0,7.8453636,14.45038,50.95358,0.0,42.979507,2.737274,34.108147,11.035391,0.0,45.16191,42.149033,1195.007,37.910526,3.6974854,7.956375
3.7684216,8.392208,0.0,17.640871,3.8054905,3.3032808,100.032326,21.849771,44.650116,7.059078,0.8586657,47.57567,3.0309603,9.487697,36.96316,11.363806,18.22995,0.0,6.4591303,11.208449,7.15087,24.058624,0.0,0.0,8.214611,1.4120812,7.6294184,0.0,3.264088,3.584165,4.1830664,0.0,12.536742,22.126085,34.793125,51.496292,0.0,0.0,6.1793866
0.0,0.9839649,0.0,0.0,0.0,2.3697467,150.05069,21.453644,18.76624,0.0,2.696629,19.656595,0.0,0.0,10.385828,0.0,12.501019,0.0,38.39932,15.439544,20.105833,0.0,0.0,0.0,3.4966958,0.0,0.0,0.0,0.0,0.0,8.840958,3.4725385,3.0806768,0.0,3.7981603,10.342218,0.0,10.63744,0.0
7.7503057,16.780516,0.0,0.0,0.0,18.335985,59.869793,38.243465,32.965252,9.626798,6.664759,19.917715,5.0250278,0.0,0.0,9.691821,4.6694903,0.0,19.29388,30.85583,21.818851,56.088104,0.0,0.0,4.059207,0.0,43.49206,0.0,0.057043474,6.749896,69.58055,10.584796,4.202149,0.0,0.0,459.3968,16.396944,9.309719,2.6892183
27.436367,4.595414,0.0,21.929556,4.3044286,30.981863,28.455864,38.198025,50.253956,0.0,7.281433,14.078917,2.9592037,15.479367,67.672905,18.689196,10.075836,6.8047676,0.0,16.163197,25.730762,46.963852,4.5716906,0.0,4.324409,0.0,9.420083,0.0,13.330372,2.7098496,18.290323,5.3268175,0.0,36.327694,29.533642,344.81525,10.486555,0.0,8.866089
