MF102,MF117,MF121,MF124,MF13,MF134,MF137,MF141,MF144,MF167,MF179,MF181,MF184,MF191,MF195,MF198,MF200,MF21,MF257,MF27,MF312,MF370,MF39,MF421,MF439,MF44,MF46,MF465,MF476,MF478,MF5,MF557,MF57,MF59,MF6,MF7,MF78,MF89,MF9
5.337005,23.692492,3.2258065,0.0,4.007586,15.303003,31.091,11.34949,57.43493,0.0,0.0,10.314596,14.36982,7.8586974,9.478804,4.0833507,2.6533413,3.475572,4.650263,3.8005595,19.698784,41.497005,3.1578948,4.1162786,44.029346,1.0000675,29.474672,2.9126213,0.0,8.689683,50.581017,6.686483,8.00158,0.0,0.0,714.8741,10.377611,3.1578948,0.0
0.0,19.497723,0.0,33.51516,13.408891,15.718242,91.366745,48.71169,0.0,12.06195,5.38022,81.59027,0.14894542,29.50929,64.51673,11.759963,14.343868,0.0,0.0,16.977346,10.639069,37.856396,0.0,0.0,16.017458,0.0,20.447672,0.0,0.0,27.691734,0.0,5.391692,0.0,2.0770872,112.32785,331.03033,0.0,0.0,0.0
0.0,11.866217,0.0,29.816273,9.182932,13.28852,79.35807,29.23698,22.440569,9.470105,6.9205704,101.662636,1.5401679,29.691656,56.345165,10.977146,21.445717,0.0,0.0,21.310528,14.32444,51.71977,1.7431437,0.0,15.070009,0.6317536,5.3985543,0.0,0.9835952,18.434502,0.0,0.29785722,0.0,18.44575,107.4845,205.02203,0.0,0.0,3.3345604
0.0,3.505147,0.0,0.0,0.20773003,4.8723454,115.52355,1.5102627,5.909602,0.0,10.8984,44.22749,9.418089,0.4495807,59.771656,0.0,50.386745,0.0,7.001806,6.9655194,11.666672,2.1641912,0.0,0.0,12.067987,0.27523297,0.0,0.0,0.21456592,8.257899,6.882259,1.7396842,0.0,0.0,21.864914,9.013601,0.0,3.6024938,5.971598
3.340146,13.642801,0.0,0.0,0.0,27.154694,51.539764,26.217916,16.079811,7.514237,15.824292,30.459164,21.049828,0.0,0.0,2.494348,20.509766,0.0,5.5788445,15.88536,22.474918,97.8904,0.0,0.0,6.3928857,0.0,33.31343,0.0,0.0,3.4736595,137.13718,9.981019,3.6598148,0.0,0.0,382.40497,15.791152,0.0,1.8094695
30.02417,9.066159,0.0,22.108091,9.425709,41.628735,55.859287,63.255985,84.392555,0.0,0.0,26.902992,5.8226466,63.823395,125.85859,23.74844,0.0,3.5640864,0.0,21.023664,51.52594,15.307165,11.485076,0.0,7.866053,14.434765,51.00916,0.0,42.942253,2.8146164,34.169056,11.021083,0.0,45.18549,42.167233,1195.1149,37.907738,3.7159367,7.9640975
3.7506933,8.415291,0.0,17.620375,3.764135,3.3171976,100.16614,21.877563,44.63404,7.079679,0.8387821,47.63281,3.0667548,9.477383,37.0325,11.36287,18.287441,0.0,6.509885,11.19072,7.1898475,24.080355,0.0,0.0,8.176559,1.3957982,7.6212244,0.0,3.2315161,3.639681,4.2185774,0.0,12.528242,22.147411,34.799294,51.44056,0.0,0.0,6.195825
0.0,0.99758637,0.0,0.0,0.0,2.3681946,150.1483,21.46073,18.772295,0.0,2.6895483,19.732449,0.0,0.0,10.356789,0.0,12.517834,0.0,38.467113,15.456454,20.146864,0.0,0.0,0.0,3.476694,0.0,0.0,0.0,0.0,0.0,8.90615,3.4654417,3.081616,0.0,3.7895105,10.343083,0.0,10.659173,0.0
7.7403092,16.785458,0.0,0.0,0.0,18.363684,60.01571,38.268524,32.992233,9.660636,6.650542,19.960842,5.0694957,0.0,0.0,9.685204,4.6699905,0.0,19.37326,30.893362,21.84568,56.207108,0.0,0.0,4.064312,0.0,43.549225,0.0,0.035699766,6.8117075,69.65577,10.57472,4.198535,0.011659473,0.0,459.43774,16.396164,9.328213,2.7007945
27.438862,4.6171684,0.0,21.89351,4.26581,31.014069,28.569698,38.255524,50.149277,0.0,7.269843,14.152584,3.0026681,15.433326,67.76941,18.679462,10.116426,6.7990456,0.0,16.15259,25.776121,47.019066,4.594875,0.0,4.3376594,0.0,9.460139,0.0,13.294646,2.8081179,18.337576,5.3018565,0.0,36.371426,29.574276,344.80206,10.468243,0.0,8.880552
