MF102,MF117,MF121,MF124,MF13,MF134,MF137,MF141,MF144,MF167,MF179,MF181,MF184,MF191,MF195,MF198,MF200,MF21,MF257,MF27,MF312,MF370,MF39,MF421,MF439,MF44,MF46,MF465,MF476,MF478,MF5,MF557,MF57,MF59,MF6,MF7,MF78,MF89,MF9
5.337005,23.692492,3.2258065,0.0,4.007586,15.303003,31.091,11.34949,57.43493,0.0,0.0,10.314596,14.36982,7.8586974,9.478804,4.0833507,2.6533413,3.475572,2.7901576,3.8005595,19.698784,41.497005,3.1578948,4.1162786,44.029346,1.0000675,29.474672,2.9126213,0.0,8.689683,50.581017,6.686483,8.00158,0.0,0.0,714.8741,10.377611,3.1578948,0.0
0.0,19.46817,0.0,33.60515,13.445953,15.698245,91.21916,48.72493,0.0,12.0110235,5.388295,81.30849,0.09503493,29.448942,64.402824,11.771047,14.301968,0.0,0.0,16.906181,10.515815,37.513733,0.0,0.0,16.023102,0.0,20.39814,0.0,0.0,27.572104,0.0,5.4272656,0.0,2.0422637,112.27388,329.59378,0.0,0.0,0.0
0.0,11.799438,0.0,29.781431,9.258953,13.215962,79.162186,29.005383,22.455894,9.462834,6.969593,101.77204,1.5522348,29.69451,56.324043,10.973645,21.560587,0.0,0.0,21.24252,14.270349,51.68754,1.6685091,0.0,15.026911,0.6315016,5.3305864,0.0,0.9842122,18.399572,0.0,0.27729046,0.0,18.325754,107.37817,204.19624,0.0,0.0,3.31573
0.0,3.4256861,0.0,0.0,0.19742319,4.884953,115.47912,1.3036263,5.9627595,0.0,10.885085,43.805252,9.429805,0.36638385,59.684296,0.0,50.44694,0.0,7.118051,6.873441,11.645691,1.9440438,0.0,0.0,12.005718,0.31924504,0.0,0.0,0.23690335,8.110155,6.8732605,1.7407254,0.0,0.0,21.3997,8.9083605,0.0,3.7121634,5.9990544
3.3672333,13.653755,0.0,0.0,0.0,27.136257,51.32639,26.244963,16.088833,7.4714165,15.851755,30.350695,20.989952,0.0,0.0,2.5104527,20.483086,0.0,5.480143,15.861135,22.438307,97.821,0.0,0.0,6.386402,0.0,33.295174,0.0,0.0,3.408364,137.13927,10.010424,3.6613214,0.0,0.0,382.78345,15.847587,0.0,1.7822394
30.033764,9.048495,0.0,22.195581,9.488853,41.619217,55.71212,63.201427,84.44612,0.0,0.0,26.832664,5.7862105,63.86627,125.792435,23.76533,0.0,3.5705833,0.0,21.019129,51.487534,15.202852,11.464358,0.0,7.846288,14.451434,50.953014,0.0,42.978954,2.7369437,34.10943,11.03487,0.0,45.160824,42.14807,1195.0127,37.909786,3.697763,7.956159
3.7684484,8.392273,0.0,17.641382,3.8059378,3.3031979,100.03381,21.849585,44.65083,7.059178,0.85892487,47.576336,3.0305743,9.487417,36.96355,11.363689,18.230265,0.0,6.459218,11.208371,7.1512027,24.056742,0.0,0.0,8.215128,1.412493,7.62923,0.0,3.2643564,3.5838752,4.182805,0.0,12.536766,22.125555,34.793846,51.496696,0.0,0.0,6.1792088
0.0,0.9837147,0.0,0.0,0.0,2.3700087,150.05098,21.453016,18.767666,0.0,2.6966186,19.6569,0.0,0.0,10.3859415,0.0,12.501011,0.0,38.399193,15.439313,20.10583,0.0,0.0,0.0,3.4973207,0.0,0.0,0.0,0.0,0.0,8.841367,3.472315,3.0805998,0.0,3.797848,10.343317,0.0,10.637406,0.0
7.750508,16.780663,0.0,0.0,0.0,18.335724,59.86975,38.242676,32.96566,9.626713,6.664693,19.918545,5.024887,0.0,0.0,9.69182,4.669883,0.0,19.29371,30.855686,21.819328,56.087975,0.0,0.0,4.0599394,0.0,43.491413,0.0,0.056758802,6.7499714,69.58121,10.58444,4.2022057,0.0,0.0,459.40118,16.396269,9.309827,2.6890974
27.43671,4.5953236,0.0,21.929798,4.304685,30.981976,28.456017,38.197483,50.257694,0.0,7.281741,14.079784,2.959247,15.47979,67.67345,18.689293,10.075998,6.8047833,0.0,16.163477,25.730875,46.963646,4.571704,0.0,4.324887,0.0,9.419937,0.0,13.330101,2.7096055,18.291216,5.326623,0.0,36.32707,29.533295,344.8195,10.486361,0.0,8.866014
