MF102,MF117,MF121,MF124,MF13,MF134,MF137,MF141,MF144,MF167,MF179,MF181,MF184,MF191,MF195,MF198,MF200,MF21,MF257,MF27,MF312,MF370,MF39,MF421,MF439,MF44,MF46,MF465,MF476,MF478,MF5,MF557,MF57,MF59,MF6,MF7,MF78,MF89,MF9
5.337005,23.692492,3.2258065,0.0,4.007586,15.303003,31.091,11.34949,57.43493,0.0,0.0,10.314596,14.36982,7.8586974,9.478804,4.0833507,2.6533413,3.475572,4.650263,3.8005595,19.698784,41.497005,3.1578948,4.1162786,44.029346,1.0000675,29.474672,2.9126213,0.0,8.689683,50.581017,6.686483,8.00158,0.0,0.0,714.8741,10.377611,3.1578948,0.0
17.054014,24.677237,0.0,56.84571,17.752981,41.587868,54.052475,61.070934,18.703041,2.5576565,0.0,47.05452,0.44939634,63.399837,86.747375,22.725666,3.6178198,7.3442664,0.0,21.35917,26.185837,55.39895,10.338309,0.0,8.581301,6.2420263,32.314342,0.0,22.4923,11.796334,20.460157,13.17305,0.0,27.294706,64.20572,938.7004,31.377735,0.0,6.264022
16.132765,4.7330513,0.0,52.16731,7.0961494,13.311836,95.03569,19.142986,27.432957,13.221463,7.5132275,73.46446,8.416923,27.355951,52.7966,16.757114,22.39506,3.9663274,0.87699825,19.255688,20.532703,85.84613,6.7948523,0.0,36.31612,6.0433717,4.205001,0.0,2.426863,7.2604017,0.0,1.0476854,0.0,22.219183,31.355259,218.33311,0.0,0.0,3.0909467
0.0,12.361646,0.0,0.0,0.0,6.456018,148.29962,52.550594,14.41847,0.0,0.032049656,20.65042,0.0,0.0,16.527868,1.1804161,6.394226,0.0,23.548563,14.951467,13.857763,0.0,0.0,0.0,9.957314,0.0,6.154369,0.0,0.83855265,2.7375774,0.0,7.466284,4.352265,0.0,49.143593,55.672523,0.0,5.6607985,0.0
7.5096636,15.254723,0.0,0.0,0.0,23.50337,58.175415,34.732895,37.584885,7.6834407,5.319069,18.00655,5.955333,0.0,0.0,7.867941,3.5936272,0.0,16.372135,23.659456,22.558369,61.05179,0.0,0.0,4.2406573,1.6895778,35.706512,0.0,2.7266858,5.402191,57.868336,9.616847,3.1971912,3.1026442,0.0,535.39374,14.355474,12.361836,4.1753387
28.42427,8.184371,0.0,51.487694,13.395065,35.156963,29.028584,42.298813,58.485313,0.0,5.539537,13.283897,3.2066472,38.469074,73.54534,21.718956,8.31055,11.112656,0.0,14.96756,24.938086,37.448418,7.5992947,0.0,4.763614,3.8245304,14.157598,0.0,16.20058,1.6408277,24.528002,8.792846,0.0,30.577038,30.537262,527.2186,19.947432,0.0,8.528537
0.9831853,2.1794086,0.0,13.933098,5.4176726,2.7143226,50.806572,15.108318,11.355234,2.9527125,4.493346,30.433582,0.0,0.0,19.876308,7.6324143,12.083462,0.0,0.0,8.354745,0.93343174,19.607176,0.0,0.0,6.9094357,0.0,10.464785,0.0,1.3419057,4.4621353,0.0,0.0,0.0,2.160635,27.173187,39.362503,0.0,0.0,0.2303644
0.17487037,2.6244903,0.0,0.0,0.0,2.4402347,77.06446,17.149588,55.13025,0.0,0.0,8.483444,1.1767128,0.0,10.31266,1.3201606,15.881655,0.0,12.233408,5.11518,21.51187,0.0,0.0,0.0,0.14293337,0.0,0.0,0.0,0.0,3.5638454,19.068499,1.1022309,3.6796331,0.0,13.662124,21.62611,0.0,3.6477509,0.0
9.932331,22.842813,0.0,0.0,0.0,22.9775,38.71902,14.183663,33.47057,0.883569,12.538137,19.488874,9.174516,0.0,0.0,0.0,29.469923,0.0,9.640071,14.068145,30.361547,44.964867,0.0,0.0,8.445867,0.0,11.235759,0.0,0.0,4.260685,126.625496,0.0,6.0401673,0.0,0.0,457.23624,3.4610953,4.539469,2.3356497
41.47184,0.0,0.0,21.160881,1.5591416,30.708672,14.5226345,27.000065,423.90778,0.0,12.098931,17.95777,2.5155962,19.808987,51.43396,20.36737,2.4071436,14.027393,0.0,32.015125,33.637943,23.80238,11.732287,0.0,10.956678,43.953476,9.870583,0.0,10.4005375,0.0,31.976498,0.0,0.0,12.076113,15.8913765,435.96887,15.381794,0.5569366,3.3368044
3.7829537,7.159478,0.0,10.098116,12.323121,3.6683235,83.52815,5.754838,0.0,4.6632094,12.989605,26.266693,0.0,9.403328,33.784992,11.83446,8.565634,0.0,0.0,16.181543,0.0,7.458397,0.0,0.0,7.021543,0.0,8.584712,0.0,4.883772,6.5879965,0.0,16.200928,5.5605416,0.0,39.977314,70.71111,0.0,0.0,3.2590685
0.0,2.3782547,0.0,1.6708131,0.94838905,0.0,85.07051,7.1645956,14.360683,0.0,12.669324,18.905432,5.6108456,0.05001697,20.15679,3.278535,19.48882,0.0,2.541082,5.2024617,21.367554,0.0,0.0,0.0,16.137157,3.093789,0.0,0.0,0.0,0.0,7.9088583,1.9722561,0.0,0.0,10.174051,13.242876,0.0,9.497075,0.0
3.9529014,21.710392,0.0,0.0,0.0,30.49621,36.777843,12.272538,16.872393,7.522592,15.181208,8.561398,13.48397,0.0,0.0,1.293172,23.429876,0.0,6.638947,3.7163045,15.750742,41.16598,8.195752,0.0,0.13671196,31.396805,4.283088,0.0,0.0,3.0865097,97.57337,7.6069956,5.224002,9.646969,0.0,300.0676,18.456139,3.47641,0.0
21.969193,5.94215,0.0,12.492759,0.0,37.2701,18.592632,26.059414,36.570362,0.0,2.6909232,10.331585,4.4810777,21.266747,95.39268,31.193743,3.201099,2.8040993,0.0,20.25445,21.38246,23.679174,6.890376,1.9642539,13.73447,0.0,8.779478,0.0,26.293766,3.3714166,28.048315,5.5868626,0.0,9.161622,11.424014,385.8481,20.992989,3.705978,3.5200477
4.142595,3.2722528,0.0,7.626039,13.646686,2.1804855,72.184364,9.118529,14.056961,4.42006,4.6293373,25.03234,0.0,10.370523,26.17499,6.6427774,19.174683,0.0,0.0,1.7677195,1.9607235,23.69038,0.0,0.0,8.343231,0.0,3.79717,0.0,0.0,11.980999,4.0503635,0.0,3.511981,0.7855147,41.269016,59.010666,0.0,0.0,1.3032256
0.0,1.7705368,0.0,0.0,0.43388745,2.6964655,56.711002,3.6324456,5.094268,3.3375611,4.5022583,5.8872757,3.0287642,0.0,13.848099,2.8688374,11.354319,0.0,0.0,3.8954155,5.47158,0.0,0.0,0.0,7.586219,0.7234351,0.0,0.0,0.055341523,0.0,6.018526,0.0,0.0,3.1305938,1.3022413,20.575182,0.0,0.0,0.0
6.332583,13.610179,0.0,0.0,0.0,12.965267,26.969913,17.851486,0.0,2.854502,4.2147665,14.553541,3.3739212,0.0,13.362186,7.2957573,13.193333,0.0,10.498352,0.0,21.500906,51.75199,0.0,0.0,15.026005,1.8541641,10.838464,0.0,0.0,4.118045,48.968327,5.9122524,6.1776395,23.625166,0.0,310.4351,17.423063,3.7345705,0.0
37.83168,27.667484,0.0,64.04462,0.0,18.899889,27.50534,30.33802,0.0,0.0,0.0,19.540236,11.532767,90.4539,208.94019,32.79266,10.38839,3.5479448,0.0,18.339436,38.89217,37.698082,1.7419304,0.0,16.344755,0.0,12.497338,0.0,6.0152555,45.842167,33.80877,9.723118,0.0,6.6730833,18.704693,706.2893,9.67747,4.0101438,2.4959426
0.0,8.017734,0.0,11.395556,11.578474,4.7626047,96.1971,10.24242,20.61348,4.520383,13.391918,34.99616,0.0,0.0,30.810698,5.393781,10.375811,0.0,10.717258,11.724389,4.7720766,0.0,0.0,0.0,8.369949,0.0,10.186769,0.0,0.0,3.025876,0.0,3.809196,6.1090164,0.0,47.460842,63.182606,0.0,11.352547,1.2927557
0.0,1.9601623,0.0,0.0,10.24602,1.0825542,113.70302,0.0,15.517403,3.152027,12.335618,36.6107,2.9620285,0.0,26.507524,1.073525,23.755646,0.0,3.812696,3.9645615,7.3845696,2.2582512,0.0,0.0,17.453745,1.4826729,0.06291121,0.0,0.0,2.6045952,6.514386,0.0,0.0,0.0,14.409648,48.91157,0.0,6.6232524,0.0
