run,mean_accuracy
0,0.0
1,0.3626656897115318
2,0.3433154783850895
3,0.3288071254240702
4,0.3576737947536448
5,0.354495728721523
6,0.3895862861806654
7,0.28547525112969263
8,0.3453136722374384
9,0.3596800715493365
10,0.3815511770281606
11,0.32660619669314556
12,0.3524994192478
13,0.348276325808134
14,0.34097812024077123
15,0.16125363524616584
16,0.3620730978481781
17,0.3331895637129352
18,0.3487802568050426
19,0.3106948108148484
20,0.36682450125849175
21,0.3712076967672098
22,0.3748737374855485
23,0.38020194076727665
24,0.39778489930973804
25,0.33755020941710256
26,0.33348821606639323
27,0.34065105540072377
28,0.3346620764700028
29,0.2590958541195512
30,0.384118680076299
31,0.36940477727225646
32,0.3457365565465005
33,0.37757312177924346
34,0.3356256176571939
35,0.40550506547391807
36,0.32888486355220903
37,0.34537490590120934
38,0.31701153831144363
39,0.36027987556502417
40,0.3841741806723035
41,0.39083452717546535
42,0.3236380063521243
43,0.3747255840636317
44,0.3584027023289534
45,0.3642455148637927
46,0.3636928306220015
47,0.3523125566506844
48,0.41178678260299095
49,0.3256766048672098
50,0.32159667193501185
51,0.2815350691920016
52,0.36122214895970617
53,0.3816716738519475
54,0.3497804294194596
55,0.4056419317437466
56,0.3235502905603367
57,0.3702364816998374
58,0.4349017476531876
59,0.3064619888292342
60,0.32798777434136744
61,0.3427817588767022
62,0.3631492808035901
63,0.4584448117221725
64,0.36263854153310077
65,0.3632990731893434
66,0.34881065584862947
67,0.3519671030039677
68,0.3062827957457768
69,0.3392601619287803
70,0.3261860409467014
71,0.33822463387053625
72,0.31362936626273435
73,0.3479635118458617
74,0.28120596986853735
75,0.3517969309640889
76,0.37134958898811304
77,0.36623997797540997
78,0.3573441870272384
79,0.2783063473284219
80,0.3845159980041638
81,0.22400588554632675
82,0.3591687308018791
83,0.37321918670613885
84,0.32874370149064014
85,0.3653969070225787
86,0.36227657927300366
87,0.36200753687858006
88,0.3835897347351779
89,0.29050605799013174
90,0.35742782073163415
91,0.3618262674982164
92,0.3827325932946274
93,0.2956483454118937
94,0.3292151153164557
95,0.47208535352245845
96,0.3705028899796007
97,0.3547352384289008
98,0.3579442227539403
99,0.3090855993880989
100,0.3343276512273014
