model_accuracy,MF
0.9661402750358722,MF102
0.7656273503237937,MF117
NaN,MF121
0.8114724928850942,MF124
0.29638962211012715,MF13
0.744927418073711,MF134
0.9697065059526819,MF137
0.8188216850433326,MF141
0.5812031299207823,MF144
0.1633243888137445,MF167
0.3591092587941927,MF179
0.6828932039898298,MF181
0.5504692321205102,MF184
0.7491584588300106,MF191
0.8308265137769785,MF195
0.6882728852746526,MF198
0.6607883362236866,MF200
0.8538896558841976,MF21
0.2802722622548672,MF257
0.3947240610313265,MF27
0.9035621649184283,MF312
0.6964272773902833,MF370
0.29896016742708764,MF39
NaN,MF421
0.451959835600426,MF439
0.3316850180235511,MF44
0.6446146523802851,MF46
NaN,MF465
0.34808799182192357,MF476
0.5381235720020008,MF478
0.7473239885217607,MF5
0.8225303035707671,MF557
0.57685347525383,MF57
0.43335001840040216,MF59
0.4132539982599396,MF6
0.9390449065684072,MF7
0.5200574957536368,MF78
0.40414113897205184,MF89
0.4396398580010185,MF9
