IA_RMSE,MF
1.685043649836874,MF102
3.1398834640774145,MF117
9.061090273389064,MF121
8.023136931777332,MF124
6.1575597271986435,MF13
5.110085904315497,MF134
10.055667034270792,MF137
5.835960237046266,MF141
23.230878667129083,MF144
3.3078935222437047,MF167
3.5272813241170695,MF179
7.026630875458127,MF181
2.813662507620803,MF184
7.043974634192763,MF191
14.374841071587278,MF195
3.492202995051613,MF198
8.325395543620937,MF200
1.855794705964365,MF21
6.581630479196934,MF257
4.116032554379816,MF27
4.416298769548967,MF312
12.639296642699225,MF370
3.4315875748304054,MF39
4.571593931840656,MF421
15.537331939115605,MF439
2.976024976499548,MF44
4.537133265036173,MF46
5.98976446103294,MF465
2.9292542219571485,MF476
2.1279080819584264,MF478
12.344822342522429,MF5
1.7916565159823392,MF557
2.043391245988404,MF57
3.985528762727456,MF59
20.287758835890195,MF6
43.00726781418744,MF7
4.888339246785688,MF78
1.964586940498519,MF89
2.095742091607137,MF9
