date,year,season,H0_mean,H0_std,H1_mean,H1_std,H2_mean,H2_std
2014-04-01,2014,spring,67.6039,11.04563286509832,29.912313548245642,5.29999022398253,18.379757701848323,3.7562838597052313
2013-07-01,2013,summer,89.6686,7.3881142697745155,31.616246479442985,5.315350257365648,16.60853068876312,3.3583593153768243
2013-10-01,2013,autumn,75.3371,10.12330537528003,32.45177706329303,8.408435116168697,19.364444061614197,9.303537660967578
2016-07-01,2016,summer,66.9939,10.263430059666218,20.50083272407991,4.149498417074504,9.588606596853523,3.4989214753894182
2015-10-01,2015,autumn,42.9106,5.917627013503502,22.000479976868633,2.7622536650547493,12.501290248199501,2.200626732931685
2014-07-01,2014,summer,83.1507,13.167988802505969,28.21837598656016,5.67022828069101,15.365950596161257,3.1990271835203967
2015-07-01,2015,summer,65.9309,6.898875606826281,29.76876016566188,3.51897242948587,17.652375216363296,2.1183879428293495
2012-07-01,2012,summer,60.0654,7.162936102281008,29.016801837844945,4.24627000976794,17.489610278863143,3.238284469315043
2017-04-01,2017,spring,52.3383,7.641118490062648,22.857456088003232,4.662024831131792,13.570567461973353,3.8251914354236702
2020-07-01,2020,summer,85.142,7.267758803909362,33.8888936448533,4.5995771269759445,19.727302456290722,3.248464381767441
2012-10-01,2012,autumn,57.0245,2.188282113407861,34.80180342297275,1.1450753737330823,24.055703975886733,2.37726628758948
2014-10-01,2014,autumn,60.8794,10.335518271175067,22.690145121837283,6.590423123243178,11.722217140837538,6.549505799564911
2016-10-01,2016,autumn,56.5088,12.955396821042559,25.0596612975689,3.2156677614210754,12.92570591143477,4.9701194637483725
2017-10-01,2017,autumn,55.0674,8.565558599379798,23.779240576170782,7.683196633692396,13.558469621333373,7.030126737543113
2018-10-01,2018,autumn,53.0982,7.705419788007033,20.01355978491794,7.200079741875608,10.098809009459979,5.467985517358827
2014-01-01,2014,winter,45.1652,7.861366870265535,25.918004051742503,4.482024119400855,17.749691800788277,3.408696622111407
2015-01-01,2015,winter,40.3928,6.641364237255229,23.35214995123767,3.623965706727233,15.36471458095432,3.6270961030236575
2016-01-01,2016,winter,40.3874,10.391848742741942,21.80609733077885,3.8476777988311,13.327713963291124,4.363118848408478
2017-01-01,2017,winter,38.0848,6.41344854132458,23.903036758823816,4.3368945514255755,16.700054592563642,4.566712882180129
2018-01-01,2018,winter,33.9835,6.853621302822025,20.336288438363777,3.6636974735754406,12.92937326770813,3.925701906016696
2019-01-01,2019,winter,40.3546,4.44979088316413,24.391283942821342,3.4627131842955183,16.559187708413603,3.2070925847044403
2015-04-01,2015,spring,62.498,12.136396714532854,25.331169152919895,5.917629347335594,14.525412570912204,3.605392396310253
2016-04-01,2016,spring,57.2574,10.430370295557633,24.555529113364223,4.341821662683473,13.859687626234377,3.689846851319727
2018-04-01,2018,spring,54.7893,5.950919832654852,21.837705810961488,5.822273083071729,11.944906749422666,5.065332974129166
2019-04-01,2019,spring,55.5266,9.278227254713244,14.047490867283324,3.8670279218988455,6.965526955482303,2.1132983130782264
2017-07-01,2017,summer,71.5168,10.45395840266386,30.512182088758028,7.637700070966839,17.827366070000732,5.589862940364757
2018-07-01,2018,summer,84.4807,12.964529895585956,24.024017181999053,5.689904004038292,11.619892836662483,3.5278393674741726
2019-07-01,2019,summer,91.6152,13.303489288254724,32.62434178294944,5.186652338254704,17.156175360037338,3.6492091045906347
2019-10-01,2019,autumn,59.7291,10.249195958306895,17.04347982997712,4.740103051155677,7.339872722833957,3.517830378155101
2020-10-01,2020,autumn,80.0,0.0,21.965392050449633,9.273046365579475e-13,9.140098300010008,1.0232327024087695e-12
2021-10-01,2021,autumn,55.3537,9.190497420394777,14.010777631808281,1.95895724341974,6.339704880863726,1.364017470164585
2020-01-01,2020,winter,54.575,6.415254519429172,24.63202402586814,4.745323026564406,14.034277436596163,4.539171995357271
2021-01-01,2021,winter,58.5126,5.764786597650741,29.10452604219964,2.8380363974501717,18.54291686710842,2.4424219543439403
2020-04-01,2020,spring,68.1499,5.716056098371665,18.12267317207801,2.7766228595789366,9.67707859909998,1.8024326888389914
2021-04-01,2021,spring,70.5548,17.882901799698946,22.83837664032356,5.573921493881483,10.908602470962093,2.5586801949491216
2021-07-01,2021,summer,70.6052,8.98735835610341,24.383125181327458,4.6618118976721385,13.987298133195933,3.8128347742033553
2022-01-01,2022,winter,29.5303,7.741412975515945,17.57218211896697,4.717026149724158,12.767503017240271,3.5275385557135617
2022-04-01,2022,spring,37.0882,6.579555442047805,13.639481273125833,3.0161114016560115,8.279498162269112,2.0445812137836197
