"Event_ID","Placement","Sampling.Date","Season","Year","Notes","Sorting.Status.Order","Sorting.Status.Morphospecies","Location.of.the.sample"
"PIC-NFMP-T-03_12_2018","2018-09-20","2018-12-17","autumn","2018","NA","Sorted","Sorted","Entomoteca"
"TER-NFBF-T-01_12_2018","2018-09-20","2018-12-08","autumn","2018","NA","Sorted","Sorted","Entomoteca"
"TER-NFBF-T-02_12_2018","2018-09-20","2018-12-08","autumn","2018","NA","Sorted","Sorted","Entomoteca"
"TER-NFSB-T-07_12_2018","2018-09-20","2018-12-08","autumn","2018","NA","Sorted","Sorted","Entomoteca"
"GRA-CALG-Z-08_10_2018","2018-09-26","2018-10-26","monthly study","2018","NA","Not sorted","Not sorted","Lab Rui Elias"
"GRA-CALN-T-01_10_2018","2018-09-26","2018-10-26","monthly study","2018","NA","Not sorted","Not sorted","Lab Rui Elias"
"FAI-NFCF-T-08_12_2018","2018-10-04","2018-12-11","autumn","2018","NA","Not sorted","Not sorted","Lab Rui Elias"
"FAI-NFCG-T-01_12_2018","2018-10-04","2018-12-11","autumn","2018","NA","Not sorted","Not sorted","Lab Rui Elias"
"FAI-PEDRO-MIGUEL_12_2018","2018-10-04","2018-12-11","autumn","2018","NA","Not sorted","Not sorted","Lab Rui Elias"
"TER-NFSB-T164_12_2018","2018-10-08","2018-12-18","autumn","2018","NA","Sorted","Sorted","Entomoteca"
"SMR-NFPA-T-01_12_2018","2018-10-14","2018-12-14","2 months","2018","NA","Not sorted","Not sorted","Lab Rui Elias"
"GRA-CALG-Z-08_11_2018","2018-10-26","2018-11-26","monthly study","2018","NA","Not sorted","Not sorted","Lab Rui Elias"
"GRA-CALN-T-01_11_2018","2018-10-26","2018-11-26","monthly study","2018","NA","Not sorted","Not sorted","Lab Rui Elias"
"GRA-CALG-Z-08_12_2018","2018-11-26","2018-12-26","monthly study","2018","NA","Not sorted","Not sorted","Lab Rui Elias"
"GRA-CALN-T-01_12_2018","2018-11-26","2018-12-26","monthly study","2018","NA","Not sorted","Not sorted","Lab Rui Elias"
"TER-NFBF-T-01_3_2019","2018-12-08","2019-03-14","winter","2019","NA","Sorted","Sorted","Entomoteca"
"TER-NFBF-T-02_3_2019","2018-12-08","2019-03-14","winter","2019","NA","Sorted","Sorted","Entomoteca"
"TER-NFPG-T-33_3_2019","2018-12-08","2019-03-24","winter","2019","NA","Sorted","Sorted","Entomoteca"
"TER-NFSB-T-07_3_2019","2018-12-08","2019-03-15","winter","2019","NA","Sorted","Sorted","Entomoteca"
